Frame,Timestamp,VehicleID,Spectator_Location,Spectator_Rotation,Vehicle_Location,Vehicle_Rotation,Vehicle_Velocity,Vehicle_Control
3023,99.29620582517236,135,"(193.99444580078125,155.07003784179688,15.253756523132324)","(-44.9999885559082,-89.99980163574219,-2.4148362172127236e-06)","(193.99884033203125,145.06719970703125,0.23412704467773438)","(0.49762022495269775,-90.010009765625,-1.448944091796875)","Vector3D(x=-0.252048, y=0.011703, z=1.141118)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-5.149953701861246e-18,),'hand_brake':False,'gear':0)"
3024,99.34620582591742,135,"(194.00057983398438,155.06719970703125,15.234127044677734)","(-44.9999885559082,-90.00999450683594,0.0)","(193.99386596679688,145.06626892089844,0.2668004631996155)","(0.6622278094291687,-90.01781463623047,-1.637908935546875)","Vector3D(x=-0.048164, y=0.001360, z=0.439709)","('throttle':(0.0,),'brake':(0.1557101011276245,),'steering':(-1.2310742022236809e-05,),'hand_brake':False,'gear':0)"
3025,99.39620582666248,135,"(193.99696350097656,155.06626892089844,15.266799926757812)","(-44.9999885559082,-90.01781463623047,0.0)","(193.9931182861328,145.06649780273438,0.27798357605934143)","(0.6188902258872986,-90.01467895507812,-1.4076842069625854)","Vector3D(x=0.041608, y=-0.002485, z=0.103042)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-3.889357321895659e-05,),'hand_brake':False,'gear':0)"
3026,99.44620582740754,135,"(193.9956817626953,155.06649780273438,15.277982711791992)","(-44.9999885559082,-90.0146713256836,-2.4148362172127236e-06)","(193.99339294433594,145.06710815429688,0.27907466888427734)","(0.5121207237243652,-90.00957489013672,-1.114258050918579)","Vector3D(x=0.047119, y=-0.003330, z=-0.043915)","('throttle':(0.0,),'brake':(0.23420508205890656,),'steering':(0.00010210775508312508,),'hand_brake':False,'gear':0)"
3027,99.4962058281526,135,"(193.9950714111328,155.06710815429688,15.279074668884277)","(-45.000003814697266,-90.00958251953125,2.414836444586399e-06)","(193.9937286376953,145.0677490234375,0.2760006785392761)","(0.3997846245765686,-90.00567626953125,-0.8566589951515198)","Vector3D(x=0.039297, y=-0.003074, z=-0.095925)","('throttle':(0.0,),'brake':(0.3291107714176178,),'steering':(2.3286549549084157e-05,),'hand_brake':False,'gear':0)"
3028,99.54620582889766,135,"(193.99472045898438,155.0677490234375,15.2760009765625)","(-45.000003814697266,-90.00566864013672,-2.414836444586399e-06)","(193.9939422607422,145.06829833984375,0.2716951370239258)","(0.30212655663490295,-90.003173828125,-0.651885986328125)","Vector3D(x=0.030443, y=-0.002509, z=-0.103260)","('throttle':(0.0,),'brake':(0.253099262714386,),'steering':(-6.725353614456253e-06,),'hand_brake':False,'gear':0)"
3029,99.59620582964271,135,"(193.99449157714844,155.06829833984375,15.271695137023926)","(-45.000003814697266,-90.003173828125,2.414836444586399e-06)","(193.99411010742188,145.06874084472656,0.2674959897994995)","(0.223866268992424,-90.00170135498047,-0.49423202872276306)","Vector3D(x=0.023057, y=-0.001934, z=-0.091911)","('throttle':(0.0,),'brake':(0.24310141801834106,),'steering':(-6.960097834962653e-06,),'hand_brake':False,'gear':0)"
3030,99.64620583038777,135,"(193.994384765625,155.06874084472656,15.267496109008789)","(-44.9999885559082,-90.00170135498047,2.4148362172127236e-06)","(193.99424743652344,145.06907653808594,0.26392099261283875)","(0.16382208466529846,-90.0008773803711,-0.3742370307445526)","Vector3D(x=0.017353, y=-0.001447, z=-0.074737)","('throttle':(0.0,),'brake':(0.2721293270587921,),'steering':(-4.037104645249201e-06,),'hand_brake':False,'gear':0)"
3031,99.69620583113283,135,"(193.994384765625,155.06906127929688,15.263920783996582)","(-44.99998092651367,-90.00083923339844,-4.829672434425447e-06)","(193.9943389892578,145.0693359375,0.26108986139297485)","(0.11891358345746994,-90.00042724609375,-0.28326416015625)","Vector3D(x=0.013051, y=-0.001063, z=-0.057622)","('throttle':(0.0,),'brake':(0.30562567710876465,),'steering':(-2.437055627524387e-06,),'hand_brake':False,'gear':0)"
3032,99.74620583187789,135,"(193.99441528320312,155.0693359375,15.261089324951172)","(-44.9999885559082,-90.00041961669922,2.4148362172127236e-06)","(193.99441528320312,145.0695343017578,0.2589467167854309)","(0.08585547655820847,-90.00013732910156,-0.21438594162464142)","Vector3D(x=0.009824, y=-0.000773, z=-0.042889)","('throttle':(0.0,),'brake':(0.3397101163864136,),'steering':(-1.067263951881614e-06,),'hand_brake':False,'gear':0)"
