Frame,Timestamp,ActorID,ActorType,DeltaAcceleration(m/s),ChangePos,MayRapidAcceleration/MayRapiDeceleration
1154,51.26634162850678,135,vehicle.lincoln.mkz_2017,23.373677272604805,"Transform(Location(x=189.771149, y=213.172791, z=0.234127), Rotation(pitch=0.497620, yaw=89.989983, roll=-1.448944))",MayRapidAcceleration
1155,51.31634162925184,135,vehicle.lincoln.mkz_2017,-8.76341441388779,"Transform(Location(x=189.776123, y=213.173706, z=0.266800), Rotation(pitch=0.662228, yaw=89.982162, roll=-1.637909))",MayRapiDeceleration
1156,51.366341629996896,135,vehicle.lincoln.mkz_2017,-7.641248620515783,"Transform(Location(x=189.776871, y=213.173447, z=0.277984), Rotation(pitch=0.618890, yaw=89.985329, roll=-1.407684))",MayRapiDeceleration
1189,53.01634165458381,135,vehicle.lincoln.mkz_2017,8.966014893958912,"Transform(Location(x=189.775497, y=213.185501, z=0.253510), Rotation(pitch=0.028680, yaw=89.999527, roll=-0.000183))",MayRapidAcceleration
1268,56.9663417134434,135,vehicle.lincoln.mkz_2017,14.793465404853912,"Transform(Location(x=189.805588, y=219.553299, z=0.254206), Rotation(pitch=-0.051541, yaw=89.553635, roll=-0.000153))",MayRapidAcceleration
1270,57.066341714933515,135,vehicle.lincoln.mkz_2017,-14.593553998242019,"Transform(Location(x=189.805771, y=219.576904, z=0.255164), Rotation(pitch=-0.161964, yaw=89.550568, roll=-0.000732))",MayRapiDeceleration
1340,60.56634176708758,135,vehicle.lincoln.mkz_2017,9.42250357049464,"Transform(Location(x=189.823959, y=221.176437, z=0.253965), Rotation(pitch=-0.023837, yaw=89.386223, roll=-0.000275))",MayRapidAcceleration
1341,60.61634176783264,135,vehicle.lincoln.mkz_2017,-8.243862464338306,"Transform(Location(x=189.824005, y=221.179382, z=0.254038), Rotation(pitch=-0.032314, yaw=89.385994, roll=-0.000244))",MayRapiDeceleration
1419,64.51634182594717,135,vehicle.lincoln.mkz_2017,8.299177756530987,"Transform(Location(x=189.839371, y=222.259064, z=0.253946), Rotation(pitch=-0.021700, yaw=89.321915, roll=-0.000275))",MayRapidAcceleration
1420,64.56634182669222,135,vehicle.lincoln.mkz_2017,-8.027023761244452,"Transform(Location(x=189.839417, y=222.262009, z=0.254019), Rotation(pitch=-0.030060, yaw=89.321709, roll=-0.000397))",MayRapiDeceleration
1450,66.06634184904397,135,vehicle.lincoln.mkz_2017,6.03356878966181,"Transform(Location(x=189.843582, y=222.560059, z=0.253932), Rotation(pitch=-0.020019, yaw=89.309982, roll=-0.000244))",MayRapidAcceleration
2042,95.66634229011834,135,vehicle.lincoln.mkz_2017,12.783715380264251,"Transform(Location(x=189.907867, y=233.090927, z=0.254053), Rotation(pitch=-0.014774, yaw=89.925858, roll=0.000666))",MayRapidAcceleration
2048,95.96634229458869,135,vehicle.lincoln.mkz_2017,-14.108585713190564,"Transform(Location(x=189.909119, y=233.773758, z=0.257180), Rotation(pitch=-0.403835, yaw=89.956718, roll=0.000844))",MayRapiDeceleration
2049,96.01634229533374,135,vehicle.lincoln.mkz_2017,-8.182133193444255,"Transform(Location(x=189.909119, y=233.774033, z=0.256757), Rotation(pitch=-0.352936, yaw=89.956711, roll=0.000425))",MayRapiDeceleration
