Frame,Timestamp,VehicleID,Spectator_Location,Spectator_Rotation,Vehicle_Location,Vehicle_Rotation,Vehicle_Velocity,Vehicle_Control
1154,51.26634162850678,135,"(189.77552795410156,203.169921875,15.253758430480957)","(-44.9999885559082,90.00010681152344,0.0)","(189.77114868164062,213.17279052734375,0.2341272234916687)","(0.49762022495269775,89.98998260498047,-1.4489442110061646)","Vector3D(x=0.252047, y=-0.011703, z=1.141121)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(9.809473342028781e-17,),'hand_brake':False,'gear':0)"
1155,51.31634162925184,135,"(189.76939392089844,203.17279052734375,15.234127044677734)","(-44.9999885559082,89.9899673461914,0.0)","(189.776123046875,213.1737060546875,0.26680049300193787)","(0.6622278094291687,89.98216247558594,-1.6379090547561646)","Vector3D(x=0.048161, y=-0.001360, z=0.439712)","('throttle':(0.0,),'brake':(0.15571093559265137,),'steering':(-1.871212589321658e-05,),'hand_brake':False,'gear':0)"
1156,51.366341629996896,135,"(189.77301025390625,203.1737060546875,15.266799926757812)","(-45.000003814697266,89.98216247558594,0.0)","(189.77687072753906,213.17344665527344,0.27798372507095337)","(0.6188902258872986,89.9853286743164,-1.4076844453811646)","Vector3D(x=-0.041609, y=0.002486, z=0.103045)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-0.00013005473010707647,),'hand_brake':False,'gear':0)"
1157,51.416341630741954,135,"(189.77430725097656,203.17343139648438,15.277982711791992)","(-44.9999885559082,89.98533630371094,0.0)","(189.77659606933594,213.17288208007812,0.2790748178958893)","(0.5121138691902161,89.99043273925781,-1.1142579317092896)","Vector3D(x=-0.047122, y=0.003332, z=-0.043915)","('throttle':(0.0,),'brake':(0.23419974744319916,),'steering':(8.329827323905192e-06,),'hand_brake':False,'gear':0)"
1158,51.46634163148701,135,"(189.77493286132812,203.17288208007812,15.279074668884277)","(-44.9999885559082,89.99041748046875,0.0)","(189.77626037597656,213.1722869873047,0.27600082755088806)","(0.39977094531059265,89.99433135986328,-0.856658935546875)","Vector3D(x=-0.039298, y=0.003074, z=-0.095922)","('throttle':(0.0,),'brake':(0.32914429903030396,),'steering':(1.9372495444258675e-05,),'hand_brake':False,'gear':0)"
1159,51.51634163223207,135,"(189.7752685546875,203.1722869873047,15.2760009765625)","(-44.9999885559082,89.99433135986328,-4.829672434425447e-06)","(189.7760467529297,213.1717071533203,0.2716953158378601)","(0.3020992577075958,89.996826171875,-0.6518860459327698)","Vector3D(x=-0.030443, y=0.002509, z=-0.103263)","('throttle':(0.0,),'brake':(0.2531416416168213,),'steering':(-3.821499831246911e-06,),'hand_brake':False,'gear':0)"
1160,51.56634163297713,135,"(189.77548217773438,203.17169189453125,15.271695137023926)","(-44.9999885559082,89.99681091308594,2.4148362172127236e-06)","(189.77587890625,213.1712646484375,0.2674963176250458)","(0.22385944426059723,89.99826049804688,-0.49423208832740784)","Vector3D(x=-0.023056, y=0.001934, z=-0.091915)","('throttle':(0.0,),'brake':(0.24309787154197693,),'steering':(-7.136069143598434e-06,),'hand_brake':False,'gear':0)"
1161,51.616341633722186,135,"(189.7755584716797,203.1712646484375,15.267496109008789)","(-44.9999885559082,89.99824523925781,0.0)","(189.77574157714844,213.17092895507812,0.26392123103141785)","(0.16381524503231049,89.99910736083984,-0.37423697113990784)","Vector3D(x=-0.017353, y=0.001446, z=-0.074739)","('throttle':(0.0,),'brake':(0.2720803916454315,),'steering':(-5.459362000692636e-06,),'hand_brake':False,'gear':0)"
1162,51.666341634467244,135,"(189.7755889892578,203.17092895507812,15.263920783996582)","(-44.9999885559082,89.99909210205078,0.0)","(189.77566528320312,213.17071533203125,0.2610899806022644)","(0.11890675872564316,89.99957275390625,-0.2832641899585724)","Vector3D(x=-0.013050, y=0.001063, z=-0.057621)","('throttle':(0.0,),'brake':(0.30562230944633484,),'steering':(-3.6454075598157942e-06,),'hand_brake':False,'gear':0)"
1163,51.7163416352123,135,"(189.7755889892578,203.17071533203125,15.261089324951172)","(-44.9999885559082,89.99954986572266,-2.4148362172127236e-06)","(189.7755889892578,213.17051696777344,0.2589467167854309)","(0.08584181219339371,89.99983978271484,-0.21438592672348022)","Vector3D(x=-0.009824, y=0.000773, z=-0.042890)","('throttle':(0.0,),'brake':(0.33971503376960754,),'steering':(-1.7964058542929706e-06,),'hand_brake':False,'gear':0)"
