Frame,Timestamp,ActorID,ActorType,DeltaAcceleration(m/s),ChangePos,MayRapidAcceleration/MayRapiDeceleration
83222,113.06936482340097,135,vehicle.lincoln.mkz_2017,19.16661624707534,"Transform(Location(x=44.394936, y=105.785721, z=0.220613), Rotation(pitch=0.900670, yaw=179.996933, roll=-1.169769))",MayRapidAcceleration
83223,113.11936482414603,135,vehicle.lincoln.mkz_2017,-8.055758610122275,"Transform(Location(x=44.393276, y=105.784676, z=0.247826), Rotation(pitch=1.198643, yaw=179.992065, roll=-1.297272))",MayRapiDeceleration
83254,114.66936484724283,135,vehicle.lincoln.mkz_2017,8.951331188638848,"Transform(Location(x=44.384407, y=105.793007, z=0.253510), Rotation(pitch=0.028810, yaw=179.998398, roll=-0.000519))",MayRapidAcceleration
83258,114.86936485022306,135,vehicle.lincoln.mkz_2017,16.565368792155216,"Transform(Location(x=44.249992, y=105.792343, z=0.253650), Rotation(pitch=0.012404, yaw=179.914215, roll=-0.000122))",MayRapidAcceleration
83259,114.91936485096812,135,vehicle.lincoln.mkz_2017,-18.62939447314357,"Transform(Location(x=44.250248, y=105.792343, z=0.254043), Rotation(pitch=-0.032833, yaw=179.914215, roll=0.000406))",MayRapiDeceleration
83321,118.01936489716172,135,vehicle.lincoln.mkz_2017,-8.140601462025797,"Transform(Location(x=44.140003, y=105.792969, z=0.253861), Rotation(pitch=-0.011905, yaw=179.899063, roll=-0.000092))",MayRapiDeceleration
83393,121.6193649508059,135,vehicle.lincoln.mkz_2017,19.555117068689803,"Transform(Location(x=37.395203, y=106.254433, z=0.254972), Rotation(pitch=-0.139766, yaw=176.589722, roll=-0.000641))",MayRapidAcceleration
83394,121.66936495155096,135,vehicle.lincoln.mkz_2017,-11.383864112074027,"Transform(Location(x=37.390255, y=106.254623, z=0.255614), Rotation(pitch=-0.213594, yaw=176.589355, roll=0.004759))",MayRapiDeceleration
83395,121.71936495229602,135,vehicle.lincoln.mkz_2017,-12.05825971080112,"Transform(Location(x=37.390244, y=106.254639, z=0.255596), Rotation(pitch=-0.211640, yaw=176.589340, roll=0.005258))",MayRapiDeceleration
84021,153.01936541870236,135,vehicle.lincoln.mkz_2017,15.131753748153868,"Transform(Location(x=-7.786854, y=138.244980, z=0.254212), Rotation(pitch=-0.052278, yaw=90.702576, roll=-0.014771))",MayRapidAcceleration
84022,153.06936541944742,135,vehicle.lincoln.mkz_2017,-13.563844057926183,"Transform(Location(x=-7.786545, y=138.247894, z=0.254345), Rotation(pitch=-0.067537, yaw=90.688957, roll=-0.013672))",MayRapiDeceleration
84056,154.7693654447794,135,vehicle.lincoln.mkz_2017,14.748713916796902,"Transform(Location(x=-7.797822, y=138.795807, z=0.254154), Rotation(pitch=-0.045626, yaw=90.953857, roll=0.005211))",MayRapidAcceleration
84057,154.81936544552445,135,vehicle.lincoln.mkz_2017,-13.170802964202638,"Transform(Location(x=-7.797900, y=138.798859, z=0.254301), Rotation(pitch=-0.062530, yaw=90.955124, roll=0.003486))",MayRapiDeceleration
84062,155.06936544924974,135,vehicle.lincoln.mkz_2017,7.610886250524361,"Transform(Location(x=-7.797791, y=138.855820, z=0.253962), Rotation(pitch=-0.023530, yaw=90.884583, roll=0.001166))",MayRapidAcceleration
84063,155.1193654499948,135,vehicle.lincoln.mkz_2017,-7.232071853778706,"Transform(Location(x=-7.797860, y=138.858734, z=0.253991), Rotation(pitch=-0.026856, yaw=90.886070, roll=-0.001129))",MayRapiDeceleration
84082,156.0693654641509,135,vehicle.lincoln.mkz_2017,20.11704783054672,"Transform(Location(x=-7.798266, y=139.709961, z=0.254119), Rotation(pitch=-0.041596, yaw=90.416519, roll=-0.006012))",MayRapidAcceleration
84083,156.11936546489596,135,vehicle.lincoln.mkz_2017,-20.886852070065718,"Transform(Location(x=-7.798397, y=139.721954, z=0.254573), Rotation(pitch=-0.093901, yaw=90.418022, roll=-0.006805))",MayRapiDeceleration
84085,156.21936546638608,135,vehicle.lincoln.mkz_2017,6.922297445920902,"Transform(Location(x=-7.797586, y=139.753586, z=0.254593), Rotation(pitch=-0.096190, yaw=90.398849, roll=-0.003174))",MayRapidAcceleration
84086,156.26936546713114,135,vehicle.lincoln.mkz_2017,-12.433313809613285,"Transform(Location(x=-7.797582, y=139.753586, z=0.254579), Rotation(pitch=-0.094489, yaw=90.398849, roll=-0.004089))",MayRapiDeceleration
84108,157.36936548352242,135,vehicle.lincoln.mkz_2017,20.625124120298306,"Transform(Location(x=-7.857835, y=140.642380, z=0.254104), Rotation(pitch=-0.039888, yaw=92.095039, roll=0.010190))",MayRapidAcceleration
84109,157.41936548426747,135,vehicle.lincoln.mkz_2017,-20.989302201594704,"Transform(Location(x=-7.858737, y=140.655273, z=0.254557), Rotation(pitch=-0.091982, yaw=92.111397, roll=0.013712))",MayRapiDeceleration
84112,157.56936548650265,135,vehicle.lincoln.mkz_2017,13.298305568865882,"Transform(Location(x=-7.865149, y=140.729416, z=0.254407), Rotation(pitch=-0.074674, yaw=92.294601, roll=0.010557))",MayRapidAcceleration
84113,157.6193654872477,135,vehicle.lincoln.mkz_2017,-14.186236502213987,"Transform(Location(x=-7.865152, y=140.729355, z=0.254501), Rotation(pitch=-0.085507, yaw=92.294586, roll=0.012883))",MayRapiDeceleration
84172,160.56936553120613,135,vehicle.lincoln.mkz_2017,10.160438449659825,"Transform(Location(x=-7.866105, y=140.973450, z=0.253932), Rotation(pitch=-0.020115, yaw=91.917686, roll=-0.005493))",MayRapidAcceleration
84173,160.6193655319512,135,vehicle.lincoln.mkz_2017,-6.785000913300371,"Transform(Location(x=-7.865861, y=140.979965, z=0.253957), Rotation(pitch=-0.022922, yaw=91.895966, roll=-0.004181))",MayRapiDeceleration
84207,162.31936555728316,135,vehicle.lincoln.mkz_2017,12.032546347745237,"Transform(Location(x=-7.865757, y=141.285675, z=0.253968), Rotation(pitch=-0.024199, yaw=91.566437, roll=-0.003235))",MayRapidAcceleration
