Frame,Timestamp,VehicleID,Spectator_Location,Spectator_Rotation,Vehicle_Location,Vehicle_Rotation,Vehicle_Velocity,Vehicle_Control
83222,113.06936482340097,135,"(54.40004348754883,105.79524230957031,15.253899574279785)","(-45.00000762939453,179.99935913085938,0.0)","(44.394935607910156,105.78572082519531,0.2206125259399414)","(0.9006696939468384,179.99693298339844,-1.1697691679000854)","Vector3D(x=0.022866, y=0.004666, z=0.958047)","('throttle':(0.0,),'brake':(0.5,),'steering':(-0.0,),'hand_brake':False,'gear':0)"
83223,113.11936482414603,135,"(54.394935607910156,105.78518676757812,15.220612525939941)","(-44.99998092651367,179.9969024658203,0.0)","(44.39327621459961,105.78467559814453,0.2478259652853012)","(1.198643445968628,179.9920654296875,-1.297271728515625)","Vector3D(x=0.002571, y=-0.002734, z=0.402924)","('throttle':(0.0,),'brake':(0.5,),'steering':(-0.0,),'hand_brake':False,'gear':0)"
83224,113.16936482489109,135,"(54.39327621459961,105.78328704833984,15.247825622558594)","(-44.99999237060547,179.9920654296875,0.0)","(44.39371109008789,105.78604888916016,0.2595970034599304)","(1.1201919317245483,179.99497985839844,-1.087981939315796)","Vector3D(x=-0.004782, y=-0.002038, z=0.129122)","('throttle':(0.0,),'brake':(0.5,),'steering':(-0.0,),'hand_brake':False,'gear':0)"
83225,113.21936482563615,135,"(54.39371109008789,105.78517150878906,15.259596824645996)","(-44.99998092651367,179.99496459960938,5.895596233429501e-10)","(44.394744873046875,105.78755950927734,0.26344412565231323)","(0.9326213002204895,179.99851989746094,-0.8630979061126709)","Vector3D(x=-0.006295, y=-0.001881, z=0.003380)","('throttle':(0.0,),'brake':(0.5,),'steering':(-0.0,),'hand_brake':False,'gear':0)"
83226,113.2693648263812,135,"(54.394744873046875,105.78730010986328,15.263442993164062)","(-44.99998092651367,179.99851989746094,0.0)","(44.39583969116211,105.7887954711914,0.2635800540447235)","(0.734982967376709,-179.99925231933594,-0.6737670302391052)","Vector3D(x=-0.005776, y=-0.001854, z=-0.046764)","('throttle':(0.0,),'brake':(0.5,),'steering':(-0.0,),'hand_brake':False,'gear':0)"
83227,113.31936482712626,135,"(54.39583969116211,105.78892517089844,15.263580322265625)","(-44.99998092651367,-179.99923706054688,0.0)","(44.39680480957031,105.78976440429688,0.2622280716896057)","(0.5612024664878845,-179.99827575683594,-0.5221556425094604)","Vector3D(x=-0.004714, y=-0.001753, z=-0.060153)","('throttle':(0.0,),'brake':(0.5,),'steering':(-0.0,),'hand_brake':False,'gear':0)"
83228,113.36936482787132,135,"(54.39680480957031,105.79005432128906,15.262227058410645)","(-44.99998092651367,-179.99826049804688,0.0)","(44.39760208129883,105.7905044555664,0.26048213243484497)","(0.4198858439922333,-179.99807739257812,-0.4028014540672302)","Vector3D(x=-0.003645, y=-0.001572, z=-0.057168)","('throttle':(0.0,),'brake':(0.5,),'steering':(-0.0,),'hand_brake':False,'gear':0)"
83229,113.41936482861638,135,"(54.39760208129883,105.79084014892578,15.260481834411621)","(-44.99999237060547,-179.99806213378906,0.0)","(44.398216247558594,105.79109191894531,0.25883033871650696)","(0.30987200140953064,-179.99832153320312,-0.309661865234375)","Vector3D(x=-0.002736, y=-0.001349, z=-0.048108)","('throttle':(0.0,),'brake':(0.5,),'steering':(-0.0,),'hand_brake':False,'gear':0)"
83230,113.46936482936144,135,"(54.398216247558594,105.7913818359375,15.258830070495605)","(-44.99999237060547,-179.99832153320312,-7.369495291786876e-11)","(44.39868927001953,105.79154205322266,0.25745120644569397)","(0.22648222744464874,-179.99871826171875,-0.23745733499526978)","Vector3D(x=-0.002018, y=-0.001120, z=-0.037892)","('throttle':(0.0,),'brake':(0.5,),'steering':(-0.0,),'hand_brake':False,'gear':0)"
83231,113.5193648301065,135,"(54.39868927001953,105.79176330566406,15.257451057434082)","(-45.00000762939453,-179.99871826171875,-7.369496679565657e-11)","(44.39904022216797,105.79188537597656,0.2563762664794922)","(0.16442996263504028,-179.9991912841797,-0.1817321628332138)","Vector3D(x=-0.001472, y=-0.000907, z=-0.028624)","('throttle':(0.0,),'brake':(0.5,),'steering':(-0.0,),'hand_brake':False,'gear':0)"
83232,113.56936483085155,135,"(54.3990364074707,105.79203033447266,15.256375312805176)","(-44.99999237060547,-179.9991912841797,-3.684747645893438e-11)","(44.39930725097656,105.79212951660156,0.25557518005371094)","(0.11883162707090378,-179.9996337890625,-0.138885498046875)","Vector3D(x=-0.001067, y=-0.000722, z=-0.021004)","('throttle':(0.0,),'brake':(0.5,),'steering':(-0.0,),'hand_brake':False,'gear':0)"
83233,113.61936483159661,135,"(54.39930725097656,105.79218292236328,15.255574226379395)","(-44.99999237060547,-179.9996337890625,3.684747645893438e-11)","(44.39948654174805,105.79230499267578,0.2549966275691986)","(0.08558226376771927,179.9999542236328,-0.1060180589556694)","Vector3D(x=-0.000769, y=-0.000567, z=-0.015090)","('throttle':(0.0,),'brake':(0.5,),'steering':(-0.0,),'hand_brake':False,'gear':0)"
83234,113.66936483234167,135,"(54.39948654174805,105.79228973388672,15.254996299743652)","(-44.99998092651367,179.9999542236328,-2.3029672786833988e-12)","(44.39963150024414,105.7924575805664,0.25458893179893494)","(0.06148536130785942,179.9996337890625,-0.080902099609375)","Vector3D(x=-0.000553, y=-0.000442, z=-0.010664)","('throttle':(0.0,),'brake':(0.5,),'steering':(-0.0,),'hand_brake':False,'gear':0)"
83235,113.71936483308673,135,"(54.39963150024414,105.79238891601562,15.25458812713623)","(-44.99999237060547,179.9996337890625,-1.842373822946719e-11)","(44.39972686767578,105.79258728027344,0.25430718064308167)","(0.04411618784070015,179.99940490722656,-0.061676025390625)","Vector3D(x=-0.000397, y=-0.000342, z=-0.007443)","('throttle':(0.0,),'brake':(0.5,),'steering':(-0.0,),'hand_brake':False,'gear':0)"
83236,113.76936483383179,135,"(54.39972686767578,105.79248046875,15.254305839538574)","(-44.99998092651367,179.9993896484375,5.527121815784852e-11)","(44.39978790283203,105.79269409179688,0.2541157603263855)","(0.03161011263728142,179.9992218017578,-0.0469970740377903)","Vector3D(x=-0.000284, y=-0.000263, z=-0.005139)","('throttle':(0.0,),'brake':(0.5,),'steering':(-0.0,),'hand_brake':False,'gear':0)"
83237,113.81936483457685,135,"(54.39978790283203,105.79255676269531,15.25411605834961)","(-45.00000762939453,179.9992218017578,0.0)","(44.39984130859375,105.79276275634766,0.25398778915405273)","(0.022628415375947952,179.9990692138672,-0.0358276404440403)","Vector3D(x=-0.000203, y=-0.000202, z=-0.003519)","('throttle':(0.0,),'brake':(0.5,),'steering':(-0.0,),'hand_brake':False,'gear':0)"
83238,113.8693648353219,135,"(54.39984130859375,105.79259490966797,15.253987312316895)","(-44.99999237060547,179.99905395507812,0.0)","(44.39988708496094,105.79281616210938,0.2539031207561493)","(0.016194377094507217,179.99893188476562,-0.02728271298110485)","Vector3D(x=-0.000145, y=-0.000155, z=-0.002391)","('throttle':(0.0,),'brake':(0.5,),'steering':(-0.0,),'hand_brake':False,'gear':0)"
83239,113.91936483606696,135,"(54.39988708496094,105.79263305664062,15.25390338897705)","(-44.99999237060547,179.9989013671875,3.684747645893438e-11)","(44.39992141723633,105.7928695678711,0.25384804606437683)","(0.011584000661969185,179.99884033203125,-0.02078246884047985)","Vector3D(x=-0.000104, y=-0.000119, z=-0.001615)","('throttle':(0.0,),'brake':(0.5,),'steering':(-0.0,),'hand_brake':False,'gear':0)"
83240,113.96936483681202,135,"(54.39992141723633,105.79266357421875,15.253847122192383)","(-44.99999237060547,179.9989013671875,3.684747645893438e-11)","(44.39994430541992,105.79290008544922,0.253812700510025)","(0.008278189226984978,179.99876403808594,-0.01583862118422985)","Vector3D(x=-0.000074, y=-0.000091, z=-0.001085)","('throttle':(0.0,),'brake':(0.5,),'steering':(-0.0,),'hand_brake':False,'gear':0)"
83241,114.01936483755708,135,"(54.39994430541992,105.79268646240234,15.253811836242676)","(-44.99998092651367,179.99876403808594,-3.684747645893438e-11)","(44.399959564208984,105.79293060302734,0.25379034876823425)","(0.005921773612499237,179.99871826171875,-0.012054446153342724)","Vector3D(x=-0.000053, y=-0.000067, z=-0.000725)","('throttle':(0.9189611077308655,),'brake':(0.0,),'steering':(-0.052400365471839905,),'hand_brake':False,'gear':0)"
83242,114.06936483830214,135,"(54.399959564208984,105.7927017211914,15.253789901733398)","(-44.99998092651367,179.99876403808594,-3.684747645893438e-11)","(44.399959564208984,105.79293060302734,0.25379034876823425)","(0.005921773612499237,179.99871826171875,-0.012054446153342724)","Vector3D(x=0.000000, y=0.000000, z=0.000000)","('throttle':(0.46461138129234314,),'brake':(0.0,),'steering':(-0.07245676964521408,),'hand_brake':False,'gear':0)"
83243,114.1193648390472,135,"(54.399959564208984,105.7927017211914,15.253789901733398)","(-44.99998092651367,179.99876403808594,-3.684747645893438e-11)","(44.39997482299805,105.79295349121094,0.2537761628627777)","(0.003920528572052717,179.9987030029297,-0.008087158203125)","Vector3D(x=-0.000018, y=-0.000025, z=-0.000188)","('throttle':(0.9205357432365417,),'brake':(0.0,),'steering':(-0.11083301156759262,),'hand_brake':False,'gear':0)"
83244,114.16936483979225,135,"(54.39997482299805,105.792724609375,15.253776550292969)","(-44.99998092651367,179.99876403808594,-3.684747645893438e-11)","(44.39997863769531,105.79296875,0.2537727952003479)","(0.0031282263807952404,179.9987030029297,-0.006317138206213713)","Vector3D(x=-0.000020, y=-0.000021, z=-0.000208)","('throttle':(0.7442616820335388,),'brake':(0.0,),'steering':(-0.10475201904773712,),'hand_brake':False,'gear':0)"
