Frame,Timestamp,VehicleID,Spectator_Location,Spectator_Rotation,Vehicle_Location,Vehicle_Rotation,Vehicle_Velocity,Vehicle_Control
2351,116.94659890513867,135,"(189.8196258544922,258.9897155761719,15.253921508789062)","(-44.9999885559082,90.01712036132812,-2.4148362172127236e-06)","(189.81292724609375,268.9949951171875,0.22169436514377594)","(0.8847690224647522,89.98480987548828,-1.033203125)","Vector3D(x=0.196816, y=-0.022117, z=0.981673)","('throttle':(0.0,),'brake':(0.5,),'steering':(-0.0,),'hand_brake':False,'gear':1)"
2352,116.99659890588373,135,"(189.81027221679688,258.9949951171875,15.221693992614746)","(-44.9999885559082,89.98481750488281,-4.829672434425447e-06)","(189.81591796875,268.99658203125,0.24959224462509155)","(1.1719579696655273,89.9740219116211,-1.1917725801467896)","Vector3D(x=0.023446, y=-0.002468, z=0.408586)","('throttle':(0.0,),'brake':(0.5,),'steering':(-0.0,),'hand_brake':False,'gear':1)"
2353,117.04659890662879,135,"(189.81138610839844,258.99658203125,15.249591827392578)","(-44.9999885559082,89.97401428222656,2.414836444586399e-06)","(189.81629943847656,268.99615478515625,0.2613886296749115)","(1.0932810306549072,89.97824096679688,-1.02642822265625)","Vector3D(x=-0.029974, y=0.004782, z=0.126803)","('throttle':(0.0,),'brake':(0.5,),'steering':(-0.0,),'hand_brake':False,'gear':1)"
2354,117.09659890737385,135,"(189.8125,258.99615478515625,15.261388778686523)","(-44.99999237060547,89.97823333740234,0.0)","(189.81619262695312,268.9951171875,0.2650132179260254)","(0.9071651697158813,89.9847412109375,-0.8126525282859802)","Vector3D(x=-0.033511, y=0.006254, z=-0.001724)","('throttle':(0.0,),'brake':(0.5,),'steering':(-0.0,),'hand_brake':False,'gear':1)"
2355,117.1465989081189,135,"(189.81350708007812,258.9951171875,15.26501178741455)","(-44.9999885559082,89.9847412109375,0.0)","(189.81600952148438,268.9940490722656,0.2648581564426422)","(0.7119174003601074,89.98963928222656,-0.625152587890625)","Vector3D(x=-0.028074, y=0.005707, z=-0.052247)","('throttle':(0.0,),'brake':(0.5,),'steering':(-0.0,),'hand_brake':False,'gear':1)"
2356,117.19659890886396,135,"(189.81419372558594,258.9940490722656,15.26485824584961)","(-44.9999885559082,89.98963928222656,-4.829672434425447e-06)","(189.8158721923828,268.99310302734375,0.26322323083877563)","(0.5411490201950073,89.9927978515625,-0.47598257660865784)","Vector3D(x=-0.021865, y=0.004632, z=-0.065030)","('throttle':(0.0,),'brake':(0.5,),'steering':(-0.0,),'hand_brake':False,'gear':1)"
2357,117.24659890960902,135,"(189.8146209716797,258.99310302734375,15.263223648071289)","(-45.000003814697266,89.9927978515625,-4.829672889172798e-06)","(189.81573486328125,268.9923095703125,0.26123347878456116)","(0.4031245708465576,89.99466705322266,-0.36105337738990784)","Vector3D(x=-0.016640, y=0.003562, z=-0.061129)","('throttle':(0.0,),'brake':(0.5,),'steering':(-0.0,),'hand_brake':False,'gear':1)"
2358,117.29659891035408,135,"(189.81480407714844,258.9923095703125,15.261232376098633)","(-45.000003814697266,89.99465942382812,0.0)","(189.81564331054688,268.9917297363281,0.259384423494339)","(0.29630041122436523,89.99575805664062,-0.2734984755516052)","Vector3D(x=-0.012571, y=0.002661, z=-0.051157)","('throttle':(0.0,),'brake':(0.5,),'steering':(-0.0,),'hand_brake':False,'gear':1)"
2359,117.34659891109914,135,"(189.8148956298828,258.9917297363281,15.259384155273438)","(-44.9999885559082,89.99573516845703,-2.4148362172127236e-06)","(189.81558227539062,268.99127197265625,0.25785285234451294)","(0.21579980850219727,89.9963607788086,-0.2070617824792862)","Vector3D(x=-0.009481, y=0.001954, z=-0.040155)","('throttle':(0.0,),'brake':(0.5,),'steering':(-0.0,),'hand_brake':False,'gear':1)"
2360,117.3965989118442,135,"(189.81494140625,258.99127197265625,15.257852554321289)","(-44.99998092651367,89.996337890625,0.0)","(189.81552124023438,268.9909362792969,0.25666359066963196)","(0.15619276463985443,89.99671936035156,-0.156707763671875)","Vector3D(x=-0.007152, y=0.001420, z=-0.030261)","('throttle':(0.0,),'brake':(0.5,),'steering':(-0.0,),'hand_brake':False,'gear':1)"
