Frame,Timestamp,VehicleID,Spectator_Location,Spectator_Rotation,Vehicle_Location,Vehicle_Rotation,Vehicle_Velocity,Vehicle_Control
1096,50.95780672039837,135,"(194.19439697265625,279.2400207519531,15.253758430480957)","(-44.9999885559082,-89.99993133544922,-2.4148362172127236e-06)","(194.19883728027344,269.2372131347656,0.23412731289863586)","(0.49762022495269775,-90.00994873046875,-1.4489442110061646)","Vector3D(x=-0.252048, y=0.011703, z=1.141125)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(4.671002561430997e-17,),'hand_brake':False,'gear':0)"
1097,51.007806721143425,135,"(194.20057678222656,279.2372131347656,15.234127044677734)","(-45.000003814697266,-90.00994873046875,2.414836444586399e-06)","(194.19386291503906,269.2362976074219,0.2668006420135498)","(0.6622346043586731,-90.01777648925781,-1.6379088163375854)","Vector3D(x=-0.048166, y=0.001361, z=0.439712)","('throttle':(0.0,),'brake':(0.15571020543575287,),'steering':(-5.412972313934006e-05,),'hand_brake':False,'gear':0)"
1098,51.05780672188848,135,"(194.1969451904297,279.2362976074219,15.266799926757812)","(-44.9999885559082,-90.01774597167969,0.0)","(194.193115234375,269.2365417480469,0.27798381447792053)","(0.6189107298851013,-90.01461791992188,-1.407684326171875)","Vector3D(x=0.041608, y=-0.002484, z=0.103044)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(6.488750159405754e-07,),'hand_brake':False,'gear':0)"
1099,51.10780672263354,135,"(194.19566345214844,279.2365417480469,15.277982711791992)","(-45.000003814697266,-90.01461791992188,9.659345778345596e-06)","(194.19338989257812,269.2370910644531,0.27907487750053406)","(0.5121275782585144,-90.00947570800781,-1.1142578125)","Vector3D(x=0.047119, y=-0.003330, z=-0.043920)","('throttle':(0.0,),'brake':(0.23420113325119019,),'steering':(0.00012039444118272513,),'hand_brake':False,'gear':0)"
1100,51.1578067233786,135,"(194.19503784179688,279.2370910644531,15.279074668884277)","(-44.9999885559082,-90.00944519042969,-2.4148362172127236e-06)","(194.19371032714844,269.2377014160156,0.2760006785392761)","(0.3997914493083954,-90.005615234375,-0.8566590547561646)","Vector3D(x=0.039296, y=-0.003073, z=-0.095923)","('throttle':(0.0,),'brake':(0.23420113325119019,),'steering':(8.993012306746095e-05,),'hand_brake':False,'gear':0)"
1101,51.20780672412366,135,"(194.19468688964844,279.2377014160156,15.2760009765625)","(-45.000003814697266,-90.005615234375,2.414836444586399e-06)","(194.19393920898438,269.23828125,0.27169519662857056)","(0.3021334111690521,-90.00314331054688,-0.651885986328125)","Vector3D(x=0.030443, y=-0.002509, z=-0.103263)","('throttle':(0.0,),'brake':(0.2531425356864929,),'steering':(-1.1261271538387518e-05,),'hand_brake':False,'gear':0)"
1102,51.257806724868715,135,"(194.19448852539062,279.23828125,15.271695137023926)","(-45.000003814697266,-90.00313568115234,0.0)","(194.19412231445312,269.2387390136719,0.26749610900878906)","(0.2238730937242508,-90.00164031982422,-0.49423208832740784)","Vector3D(x=0.023057, y=-0.001934, z=-0.091916)","('throttle':(0.0,),'brake':(0.24305938184261322,),'steering':(-1.5137698937905952e-05,),'hand_brake':False,'gear':0)"
1103,51.30780672561377,135,"(194.1944122314453,279.2387390136719,15.267496109008789)","(-44.9999885559082,-90.00164031982422,2.4148362172127236e-06)","(194.1942596435547,269.2390441894531,0.2639210820198059)","(0.16382890939712524,-90.0008316040039,-0.3742370307445526)","Vector3D(x=0.017354, y=-0.001447, z=-0.074738)","('throttle':(0.0,),'brake':(0.27212053537368774,),'steering':(-3.5685975490196142e-06,),'hand_brake':False,'gear':0)"
1104,51.35780672635883,135,"(194.1944122314453,279.2390441894531,15.263920783996582)","(-44.9999885559082,-90.00081634521484,2.414836444586399e-06)","(194.1943359375,269.2392578125,0.2610897123813629)","(0.11891358345746994,-90.00037384033203,-0.2832641899585724)","Vector3D(x=0.013051, y=-0.001063, z=-0.057618)","('throttle':(0.0,),'brake':(0.30562514066696167,),'steering':(-1.1683499678838416e-06,),'hand_brake':False,'gear':0)"
1105,51.40780672710389,135,"(194.19439697265625,279.2392578125,15.261088371276855)","(-45.000003814697266,-90.00035095214844,-2.414836444586399e-06)","(194.1944122314453,269.2394714355469,0.25894680619239807)","(0.08585547655820847,-90.00007629394531,-0.2143859565258026)","Vector3D(x=0.009824, y=-0.000773, z=-0.042888)","('throttle':(0.0,),'brake':(0.33972030878067017,),'steering':(-1.6962835616141092e-06,),'hand_brake':False,'gear':0)"
