Frame,Timestamp,VehicleID,Spectator_Location,Spectator_Rotation,Vehicle_Location,Vehicle_Rotation,Vehicle_Velocity,Vehicle_Control
1870,72.69691676832736,135,"(-7.073090553283691,125.03995513916016,15.253756523132324)","(-44.99999237060547,89.9964370727539,0.0)","(-7.078847408294678,135.0428009033203,0.23412714898586273)","(0.4976065754890442,89.98998260498047,-1.448944330215454)","Vector3D(x=0.252046, y=-0.011703, z=1.141119)","('throttle':(0.15700000524520874,),'brake':(0.0,),'steering':(5.051835787531472e-16,),'hand_brake':False,'gear':0)"
1871,72.74691676907241,135,"(-7.08059549331665,125.04280090332031,15.234127044677734)","(-44.9999885559082,89.9899673461914,0.0)","(-7.073882102966309,135.04371643066406,0.2668004035949707)","(0.6622346043586731,89.98216247558594,-1.637878656387329)","Vector3D(x=0.048165, y=-0.001363, z=0.439711)","('throttle':(0.0,),'brake':(0.1557101607322693,),'steering':(-0.0001503245730418712,),'hand_brake':False,'gear':0)"
1872,72.79691676981747,135,"(-7.076994895935059,125.04371643066406,15.266798973083496)","(-45.000003814697266,89.98216247558594,0.0)","(-7.073149681091309,135.04348754882812,0.27798351645469666)","(0.6189107298851013,89.9853286743164,-1.4076844453811646)","Vector3D(x=-0.041611, y=0.002489, z=0.103041)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-0.00031745099113322794,),'hand_brake':False,'gear':0)"
1873,72.84691677056253,135,"(-7.075710296630859,125.0434799194336,15.277982711791992)","(-44.9999885559082,89.98533630371094,0.0)","(-7.073416709899902,135.0428924560547,0.2790747284889221)","(0.5121207237243652,89.99042510986328,-1.1142579317092896)","Vector3D(x=-0.047122, y=0.003333, z=-0.043917)","('throttle':(0.0,),'brake':(0.23420512676239014,),'steering':(-2.4900451535359025e-05,),'hand_brake':False,'gear':0)"
1874,72.89691677130759,135,"(-7.075087547302246,125.04288482666016,15.279074668884277)","(-44.9999885559082,89.99041748046875,-2.4148362172127236e-06)","(-7.073724269866943,135.042236328125,0.2760006785392761)","(0.3997846245765686,89.99431610107422,-0.856658935546875)","Vector3D(x=-0.039297, y=0.003074, z=-0.095925)","('throttle':(0.0,),'brake':(0.3290918469429016,),'steering':(1.2868592421000358e-05,),'hand_brake':False,'gear':0)"
1875,72.94691677205265,135,"(-7.074716091156006,125.042236328125,15.2760009765625)","(-44.99999237060547,89.99429321289062,0.0)","(-7.073970317840576,135.0417022705078,0.2716951072216034)","(0.30211973190307617,89.99681091308594,-0.65185546875)","Vector3D(x=-0.030442, y=0.002509, z=-0.103261)","('throttle':(0.0,),'brake':(0.2531396746635437,),'steering':(4.210297902318416e-06,),'hand_brake':False,'gear':0)"
1876,72.9969167727977,135,"(-7.074526786804199,125.04169464111328,15.271695137023926)","(-44.9999885559082,89.99678802490234,0.0)","(-7.074151992797852,135.04124450683594,0.26749590039253235)","(0.223866268992424,89.99825286865234,-0.49423208832740784)","Vector3D(x=-0.023056, y=0.001934, z=-0.091913)","('throttle':(0.0,),'brake':(0.2431437075138092,),'steering':(-8.748276741243899e-06,),'hand_brake':False,'gear':0)"
1877,73.04691677354276,135,"(-7.074456691741943,125.0412368774414,15.267496109008789)","(-44.99998092651367,89.99822998046875,0.0)","(-7.074283123016357,135.04090881347656,0.26392096281051636)","(0.16382208466529846,89.99910736083984,-0.374237060546875)","Vector3D(x=-0.017353, y=0.001447, z=-0.074736)","('throttle':(0.0,),'brake':(0.2721257209777832,),'steering':(-1.0322642992832698e-05,),'hand_brake':False,'gear':0)"
1878,73.09691677428782,135,"(-7.07443904876709,125.04090881347656,15.263920783996582)","(-44.9999885559082,89.99909210205078,0.0)","(-7.074378967285156,135.0406494140625,0.26108989119529724)","(0.11890675872564316,89.99954986572266,-0.28326416015625)","Vector3D(x=-0.013051, y=0.001063, z=-0.057620)","('throttle':(0.0,),'brake':(0.30559808015823364,),'steering':(-4.467445251066238e-06,),'hand_brake':False,'gear':0)"
1879,73.14691677503288,135,"(-7.074457168579102,125.04064178466797,15.261089324951172)","(-44.9999885559082,89.99954986572266,-2.414836444586399e-06)","(-7.074448108673096,135.04046630859375,0.25894680619239807)","(0.08585547655820847,89.99981689453125,-0.21438589692115784)","Vector3D(x=-0.009824, y=0.000773, z=-0.042888)","('throttle':(0.0,),'brake':(0.3397137522697449,),'steering':(-3.953267878387123e-06,),'hand_brake':False,'gear':0)"
