Frame,Timestamp,VehicleID,Spectator_Location,Spectator_Rotation,Vehicle_Location,Vehicle_Rotation,Vehicle_Velocity,Vehicle_Control
3939,154.857393280603,135,"(0.5299816727638245,109.8901138305664,15.253756523132324)","(-44.99999237060547,-0.020233154296875,0.0)","(10.532807350158691,109.89885711669922,0.23412711918354034)","(0.4976065754890442,-0.009979248978197575,-1.44891357421875)","Vector3D(x=-0.011703, y=-0.252044, z=1.141121)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(7.849257122347569e-17,),'hand_brake':False,'gear':0)"
3940,154.90739328134805,135,"(0.5328073501586914,109.90059661865234,15.234127044677734)","(-44.99999237060547,-0.009979247115552425,5.895596233429501e-10)","(10.533727645874023,109.89390563964844,0.2668003439903259)","(0.6622278094291687,-0.0178527794778347,-1.63787841796875)","Vector3D(x=-0.001362, y=-0.048166, z=0.439707)","('throttle':(0.0,),'brake':(0.15570998191833496,),'steering':(-9.315790521213785e-05,),'hand_brake':False,'gear':0)"
3941,154.9573932820931,135,"(0.5337285995483398,109.89701843261719,15.266798973083496)","(-44.99999237060547,-0.01785278134047985,-5.895596233429501e-10)","(10.533487319946289,109.89315795898438,0.27798357605934143)","(0.6188902258872986,-0.014678954146802425,-1.407653570175171)","Vector3D(x=0.002496, y=0.041617, z=0.103042)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-0.0007695362437516451,),'hand_brake':False,'gear':0)"
3942,155.00739328283817,135,"(0.5334873199462891,109.89572143554688,15.277982711791992)","(-44.99999237060547,-0.01467895321547985,0.0)","(10.532890319824219,109.89341735839844,0.27907493710517883)","(0.5120934247970581,-0.009552001021802425,-1.1142271757125854)","Vector3D(x=0.003336, y=0.047125, z=-0.043917)","('throttle':(0.0,),'brake':(0.23419569432735443,),'steering':(-0.00018913278472609818,),'hand_brake':False,'gear':0)"
3943,155.05739328358322,135,"(0.5328903198242188,109.89508819580078,15.279074668884277)","(-44.99999237060547,-0.009552001021802425,2.9477981167147504e-10)","(10.53226089477539,109.89373016357422,0.27600082755088806)","(0.3997572958469391,-0.005676268134266138,-0.8566589951515198)","Vector3D(x=0.003074, y=0.039297, z=-0.095922)","('throttle':(0.0,),'brake':(0.3291369378566742,),'steering':(2.928343201347161e-05,),'hand_brake':False,'gear':0)"
3944,155.10739328432828,135,"(0.5322608947753906,109.89472198486328,15.2760009765625)","(-44.99999237060547,-0.005676268134266138,2.9477981167147504e-10)","(10.53171443939209,109.89398193359375,0.2716952860355377)","(0.3020992577075958,-0.0032043459359556437,-0.65185546875)","Vector3D(x=0.002508, y=0.030442, z=-0.103257)","('throttle':(0.0,),'brake':(0.25314533710479736,),'steering':(1.3263133041618858e-05,),'hand_brake':False,'gear':0)"
3945,155.15739328507334,135,"(0.5317144393920898,109.89453887939453,15.271695137023926)","(-44.99999237060547,-0.003204345004633069,-1.4738990583573752e-10)","(10.531275749206543,109.8941650390625,0.26749610900878906)","(0.22384577989578247,-0.0017395017202943563,-0.49423202872276306)","Vector3D(x=0.001934, y=0.023056, z=-0.091915)","('throttle':(0.0,),'brake':(0.2430749386548996,),'steering':(-7.990110134414863e-06,),'hand_brake':False,'gear':0)"
3946,155.2073932858184,135,"(0.531275749206543,109.89447021484375,15.267496109008789)","(-44.99999237060547,-0.0017395016038790345,-7.369495291786876e-11)","(10.530937194824219,109.89429473876953,0.2639211118221283)","(0.1638084203004837,-0.0008850098238326609,-0.3742370307445526)","Vector3D(x=0.001446, y=0.017353, z=-0.074736)","('throttle':(0.0,),'brake':(0.2721233665943146,),'steering':(-2.704544613152393e-06,),'hand_brake':False,'gear':0)"
3947,155.25739328656346,135,"(0.5309371948242188,109.89443969726562,15.263920783996582)","(-44.99999237060547,-0.0008850095910020173,-3.684747645893438e-11)","(10.530683517456055,109.89439392089844,0.2610897719860077)","(0.1188930943608284,-0.0004272460355423391,-0.2832641303539276)","Vector3D(x=0.001063, y=0.013050, z=-0.057617)","('throttle':(0.0,),'brake':(0.3056280314922333,),'steering':(-2.431939037705888e-06,),'hand_brake':False,'gear':0)"
3948,155.3073932873085,135,"(0.5306835174560547,109.89447021484375,15.261088371276855)","(-44.99999237060547,-0.0004272459773346782,0.0)","(10.530496597290039,109.89446258544922,0.25894689559936523)","(0.08583498001098633,-0.000152587890625,-0.2143859565258026)","Vector3D(x=0.000773, y=0.009824, z=-0.042887)","('throttle':(0.0,),'brake':(0.33970019221305847,),'steering':(-2.323393346159719e-06,),'hand_brake':False,'gear':0)"
3949,155.35739328805357,135,"(0.5304965972900391,109.89447784423828,15.258947372436523)","(-44.99999237060547,-0.00015258784696925431,0.0)","(10.53036117553711,109.89451599121094,0.2573746144771576)","(0.06174490600824356,-3.0517585400957614e-05,-0.1622314453125)","Vector3D(x=0.000558, y=0.007404, z=-0.031135)","('throttle':(0.0,),'brake':(0.3698819875717163,),'steering':(-9.194784524879651e-07,),'hand_brake':False,'gear':0)"
3950,155.40739328879863,135,"(0.5303611755371094,109.89451599121094,15.257373809814453)","(-44.99999237060547,-3.0517569030052982e-05,0.0)","(10.530261993408203,109.89456176757812,0.25624722242355347)","(0.04432109370827675,6.141688936622813e-05,-0.1228027269244194)","Vector3D(x=0.000402, y=0.005586, z=-0.022183)","('throttle':(0.0,),'brake':(0.38605251908302307,),'steering':(-6.525657454403699e-07,),'hand_brake':False,'gear':0)"
3951,155.4573932895437,135,"(0.5302619934082031,109.89454650878906,15.256247520446777)","(-44.99999237060547,-3.0517569030052982e-05,0.0)","(10.530192375183105,109.89458465576172,0.2554531693458557)","(0.0317535474896431,0.00010378182923886925,-0.0929260104894638)","Vector3D(x=0.000288, y=0.004219, z=-0.015577)","('throttle':(0.0,),'brake':(0.4004734754562378,),'steering':(-2.033664117107037e-07,),'hand_brake':False,'gear':0)"
3952,155.50739329028875,135,"(0.5301923751831055,109.89456939697266,15.255452156066895)","(-44.99999237060547,0.00010378179285908118,0.0)","(10.530141830444336,109.89459991455078,0.25490179657936096)","(0.022730868309736252,0.00012680968211498111,-0.070343017578125)","Vector3D(x=0.000207, y=0.003188, z=-0.010807)","('throttle':(0.0,),'brake':(0.34093138575553894,),'steering':(-2.821833504640381e-07,),'hand_brake':False,'gear':0)"
3953,155.5573932910338,135,"(0.5301418304443359,109.89457702636719,15.254901885986328)","(-44.99999237060547,0.00010378179285908118,0.0)","(10.53010368347168,109.89461517333984,0.2545235753059387)","(0.016255849972367287,0.00013931210560258478,-0.0532226525247097)","Vector3D(x=0.000148, y=0.002410, z=-0.007431)","('throttle':(0.0,),'brake':(0.2522279918193817,),'steering':(-1.1216064166319484e-07,),'hand_brake':False,'gear':0)"
3954,155.60739329177886,135,"(0.5301036834716797,109.89458465576172,15.254522323608398)","(-44.99999237060547,0.00010378179285908118,0.0)","(10.53007698059082,109.89462280273438,0.25426650047302246)","(0.01162498164921999,0.0001460985076846555,-0.0402831956744194)","Vector3D(x=0.000106, y=0.001823, z=-0.005065)","('throttle':(0.0,),'brake':(0.1876114159822464,),'steering':(-8.563208808709533e-08,),'hand_brake':False,'gear':0)"
3955,155.65739329252392,135,"(0.5300769805908203,109.89459991455078,15.254265785217285)","(-44.99999237060547,0.00010378179285908118,0.0)","(10.530060768127441,109.89463806152344,0.2540934681892395)","(0.008305509574711323,0.00014978228136897087,-0.03048705868422985)","Vector3D(x=0.000075, y=0.001379, z=-0.003432)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-2.6978975498082036e-08,),'hand_brake':False,'gear':0)"
3956,155.70739329326898,135,"(0.5300607681274414,109.89461517333984,15.2540922164917)","(-44.99999237060547,0.00010378179285908118,0.0)","(10.530047416687012,109.89463806152344,0.25397777557373047)","(0.005935434252023697,0.00015178397006820887,-0.02307128719985485)","Vector3D(x=0.000054, y=0.001043, z=-0.002308)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-5.458798923996255e-08,),'hand_brake':False,'gear':0)"
3957,155.75739329401404,135,"(0.5300474166870117,109.89461517333984,15.25397777557373)","(-44.99999237060547,0.00010378179285908118,0.0)","(10.530035018920898,109.89464569091797,0.25390109419822693)","(0.004241547081619501,0.0001528734719613567,-0.01745605282485485)","Vector3D(x=0.000039, y=0.000790, z=-0.001548)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-9.72655271880285e-08,),'hand_brake':False,'gear':0)"
3958,155.8073932947591,135,"(0.5300350189208984,109.89461517333984,15.253901481628418)","(-44.99999237060547,0.00010378179285908118,0.0)","(10.530035018920898,109.89464569091797,0.25390109419822693)","(0.004241547081619501,0.0001528734719613567,-0.01745605282485485)","Vector3D(x=0.000000, y=0.000000, z=0.000000)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-9.584498883441483e-08,),'hand_brake':False,'gear':0)"
3959,155.85739329550415,135,"(0.5300350189208984,109.89461517333984,15.253901481628418)","(-44.99999237060547,0.00010378179285908118,0.0)","(10.530025482177734,109.89463806152344,0.2538463771343231)","(0.002807207638397813,0.00015337580407503992,-0.011657713912427425)","Vector3D(x=0.000014, y=0.000038, z=-0.000406)","('throttle':(0.15700000524520874,),'brake':(0.0,),'steering':(-5.1378808763047346e-08,),'hand_brake':False,'gear':0)"
3960,155.9073932962492,135,"(0.5300254821777344,109.89460754394531,15.253846168518066)","(-44.99999237060547,0.00010378179285908118,0.0)","(10.530021667480469,109.89462280273438,0.25382912158966064)","(0.0022403020411729813,0.0001533942122478038,-0.00909423828125)","Vector3D(x=0.000015, y=0.000032, z=-0.000452)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-3.635790335465572e-08,),'hand_brake':False,'gear':0)"
3961,155.95739329699427,135,"(0.5300216674804688,109.89458465576172,15.253829002380371)","(-44.99999237060547,0.00010378179285908118,0.0)","(10.530017852783203,109.89460754394531,0.253812313079834)","(0.0017143774311989546,0.0001534026669105515,-0.006988524924963713)","Vector3D(x=0.000013, y=0.000025, z=-0.000405)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(4.3074876998616674e-08,),'hand_brake':False,'gear':0)"
3962,156.00739329773933,135,"(0.5300178527832031,109.89457702636719,15.253811836242676)","(-44.99999237060547,0.00010378179285908118,0.0)","(10.530014038085938,109.89459991455078,0.2537980079650879)","(0.0012772453483194113,0.0001534054463263601,-0.005340575706213713)","Vector3D(x=0.000010, y=0.000019, z=-0.000330)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(1.0499145730591408e-07,),'hand_brake':False,'gear':0)"
3963,156.05739329848439,135,"(0.5300140380859375,109.89456939697266,15.25379753112793)","(-44.99999237060547,0.00010378179285908118,0.0)","(10.530012130737305,109.89458465576172,0.25378668308258057)","(0.0009357358794659376,0.00015340551908593625,-0.004058837424963713)","Vector3D(x=0.000008, y=0.000015, z=-0.000258)","('throttle':(0.7021298408508301,),'brake':(0.0,),'steering':(1.7773628258055396e-07,),'hand_brake':False,'gear':0)"
3964,156.10739329922944,135,"(0.5300121307373047,109.89454650878906,15.253786087036133)","(-44.99999237060547,0.00010378179285908118,0.0)","(10.530011177062988,109.89457702636719,0.2537780702114105)","(0.0006830188794992864,0.00015340439858846366,-0.0030822751577943563)","Vector3D(x=0.000006, y=0.000011, z=-0.000191)","('throttle':(0.37695151567459106,),'brake':(0.0,),'steering':(2.551507520820451e-07,),'hand_brake':False,'gear':0)"
3965,156.1573932999745,135,"(0.5300111770629883,109.89454650878906,15.253777503967285)","(-44.99999237060547,0.00010378179285908118,0.0)","(10.530009269714355,109.89457702636719,0.2537717819213867)","(0.0004917735932394862,0.00015340297250077128,-0.002349853515625)","Vector3D(x=0.000004, y=0.000008, z=-0.000137)","('throttle':(0.7179197669029236,),'brake':(0.0,),'steering':(3.2359409374294046e-07,),'hand_brake':False,'gear':0)"
3966,156.20739330071956,135,"(0.5300092697143555,109.89454650878906,15.253771781921387)","(-44.99999237060547,0.00010378179285908118,0.0)","(10.530008316040039,109.89456939697266,0.2537672817707062)","(0.00035516981733962893,0.00015340156096499413,-0.0018005369929596782)","Vector3D(x=0.000003, y=0.000006, z=-0.000098)","('throttle':(0.7328298687934875,),'brake':(0.0,),'steering':(3.4658503977880173e-07,),'hand_brake':False,'gear':0)"
3967,156.25739330146462,135,"(0.5300083160400391,109.89453887939453,15.253767013549805)","(-44.99999237060547,0.00010378179285908118,0.0)","(10.530008316040039,109.89456939697266,0.2537659704685211)","(0.0003073585103265941,0.0001534043112769723,-0.0015563963679596782)","Vector3D(x=0.000001, y=0.000005, z=-0.000030)","('throttle':(0.7241218686103821,),'brake':(0.0,),'steering':(3.652831992440042e-07,),'hand_brake':False,'gear':0)"
3968,156.30739330220968,135,"(0.5300083160400391,109.89453887939453,15.253765106201172)","(-44.99999237060547,0.00010378179285908118,0.0)","(10.530008316040039,109.89456939697266,0.25376462936401367)","(0.0002527169999666512,0.00015340493700932711,-0.0012207030085846782)","Vector3D(x=0.000002, y=0.000004, z=-0.000041)","('throttle':(0.7063966393470764,),'brake':(0.0,),'steering':(3.9393566453327367e-07,),'hand_brake':False,'gear':0)"
3969,156.35739330295473,135,"(0.5300083160400391,109.89453887939453,15.253764152526855)","(-44.99999237060547,0.00010378179285908118,0.0)","(10.530007362365723,109.89456939697266,0.25376319885253906)","(0.00019807547505479306,0.0001534047769382596,-0.0009460448054596782)","Vector3D(x=0.000001, y=0.000003, z=-0.000041)","('throttle':(0.6883116364479065,),'brake':(0.0,),'steering':(3.947363325096376e-07,),'hand_brake':False,'gear':0)"
3970,156.4073933036998,135,"(0.5300073623657227,109.89453887939453,15.253763198852539)","(-44.99999237060547,0.00010378179285908118,0.0)","(10.530007362365723,109.89456939697266,0.25376173853874207)","(0.000150264153489843,0.00015340439858846366,-0.000732421875)","Vector3D(x=0.000001, y=0.000003, z=-0.000037)","('throttle':(0.6702653169631958,),'brake':(0.0,),'steering':(3.9328568846030976e-07,),'hand_brake':False,'gear':0)"
3971,156.45739330444485,135,"(0.5300073623657227,109.89453887939453,15.25376033782959)","(-44.99999237060547,0.00010378179285908118,0.0)","(10.530007362365723,109.89456176757812,0.25376060605049133)","(0.00010928302071988583,0.0001534039038233459,-0.00054931640625)","Vector3D(x=0.000001, y=0.000002, z=-0.000026)","('throttle':(0.651357114315033,),'brake':(0.0,),'steering':(3.9329083278971666e-07,),'hand_brake':False,'gear':0)"
3972,156.5073933051899,135,"(0.5300073623657227,109.89453125,15.253759384155273)","(-44.99999237060547,0.00010378179285908118,0.0)","(10.530007362365723,109.89456176757812,0.25376060605049133)","(0.00010928302071988583,0.0001534039038233459,-0.00054931640625)","Vector3D(x=0.000001, y=0.000001, z=-0.000021)","('throttle':(0.629743218421936,),'brake':(0.0,),'steering':(3.9596406509190274e-07,),'hand_brake':False,'gear':0)"
3973,156.55739330593497,135,"(0.5300073623657227,109.89453125,15.253759384155273)","(-44.99999237060547,0.00010378179285908118,0.0)","(10.53000545501709,109.89456176757812,0.25375914573669434)","(6.147169915493578e-05,0.00015340326353907585,-0.00030517575214616954)","Vector3D(x=0.000000, y=0.000001, z=-0.000017)","('throttle':(0.6160290837287903,),'brake':(0.0,),'steering':(4.3169453078917286e-07,),'hand_brake':False,'gear':0)"
3974,156.60739330668002,135,"(0.5300054550170898,109.89453125,15.253759384155273)","(-44.99999237060547,0.00010378179285908118,0.0)","(10.53000545501709,109.89456176757812,0.25375914573669434)","(6.147169915493578e-05,0.00015340326353907585,-0.00030517575214616954)","Vector3D(x=0.000000, y=0.000001, z=-0.000011)","('throttle':(0.65867018699646,),'brake':(0.0,),'steering':(4.360535399428045e-07,),'hand_brake':False,'gear':0)"
3976,156.70739330817014,135,"(0.5371723175048828,109.89457702636719,15.253623962402344)","(-44.99999237060547,-9.155272709904239e-05,0.0)","(10.563175201416016,109.89456176757812,0.25333625078201294)","(0.04859679192304611,-0.00015258787607308477,-0.00015258787607308477)","Vector3D(x=0.642614, y=0.000019, z=-0.000005)","('throttle':(0.6575175523757935,),'brake':(0.0,),'steering':(1.2086317838111427e-05,),'hand_brake':False,'gear':1)"
