Frame,Timestamp,ActorID,ActorType,DeltaAcceleration(m/s),ChangePos,MayRapidAcceleration/MayRapiDeceleration
1475,64.75714083621278,135,vehicle.lincoln.mkz_2017,23.373793242257864,"Transform(Location(x=82.027184, y=236.921143, z=0.234127), Rotation(pitch=0.497620, yaw=179.990005, roll=-1.448974))",MayRapidAcceleration
1476,64.80714083695784,135,vehicle.lincoln.mkz_2017,-8.763378071828644,"Transform(Location(x=82.026260, y=236.926132, z=0.266801), Rotation(pitch=0.662228, yaw=179.982147, roll=-1.637909))",MayRapiDeceleration
1477,64.8571408377029,135,vehicle.lincoln.mkz_2017,-7.641386313496819,"Transform(Location(x=82.026505, y=236.926865, z=0.277984), Rotation(pitch=0.618890, yaw=179.985306, roll=-1.407714))",MayRapiDeceleration
1515,66.7571408660151,135,vehicle.lincoln.mkz_2017,7.684065165066734,"Transform(Location(x=82.018944, y=236.925507, z=0.253567), Rotation(pitch=0.021966, yaw=179.999893, roll=-0.000092))",MayRapidAcceleration
1634,72.70714095467702,135,vehicle.lincoln.mkz_2017,8.878290109213172,"Transform(Location(x=67.424995, y=237.033173, z=0.254278), Rotation(pitch=-0.059873, yaw=179.391083, roll=-0.000031))",MayRapidAcceleration
1635,72.75714095542207,135,vehicle.lincoln.mkz_2017,11.575301790323097,"Transform(Location(x=67.393921, y=237.033524, z=0.255008), Rotation(pitch=-0.143892, yaw=179.390762, roll=-0.000244))",MayRapidAcceleration
1636,72.80714095616713,135,vehicle.lincoln.mkz_2017,-18.61425701506977,"Transform(Location(x=67.394142, y=237.033524, z=0.255432), Rotation(pitch=-0.192693, yaw=179.390503, roll=-0.000366))",MayRapiDeceleration
1680,75.00714098894969,135,vehicle.lincoln.mkz_2017,9.21282357960792,"Transform(Location(x=66.367409, y=237.044708, z=0.253684), Rotation(pitch=0.008476, yaw=179.429199, roll=0.000471))",MayRapidAcceleration
1681,75.05714098969474,135,vehicle.lincoln.mkz_2017,12.088743615480919,"Transform(Location(x=66.337227, y=237.045013, z=0.254525), Rotation(pitch=-0.088348, yaw=179.428131, roll=-0.000061))",MayRapidAcceleration
1682,75.1071409904398,135,vehicle.lincoln.mkz_2017,-19.729340228677753,"Transform(Location(x=66.329849, y=237.045090, z=0.254911), Rotation(pitch=-0.132786, yaw=179.427643, roll=-0.000244))",MayRapiDeceleration
1812,81.60714108729735,135,vehicle.lincoln.mkz_2017,10.366001765316698,"Transform(Location(x=62.859592, y=237.085770, z=0.254046), Rotation(pitch=-0.033263, yaw=179.274887, roll=-0.000122))",MayRapidAcceleration
1813,81.65714108804241,135,vehicle.lincoln.mkz_2017,-9.210945652618133,"Transform(Location(x=62.856640, y=237.085815, z=0.254108), Rotation(pitch=-0.040346, yaw=179.274887, roll=-0.000153))",MayRapiDeceleration
1822,82.10714109474793,135,vehicle.lincoln.mkz_2017,8.850484251202415,"Transform(Location(x=62.741516, y=237.087372, z=0.253895), Rotation(pitch=-0.015873, yaw=179.286499, roll=-0.000061))",MayRapidAcceleration
