Frame,Timestamp,VehicleID,Spectator_Location,Spectator_Rotation,Vehicle_Location,Vehicle_Rotation,Vehicle_Velocity,Vehicle_Control
679,35.0456350245513,135,"(41.935447692871094,263.73992919921875,15.253758430480957)","(-45.000003814697266,90.00090789794922,2.414836444586399e-06)","(41.93114471435547,273.7427978515625,0.23412726819515228)","(0.49762022495269775,89.9899673461914,-1.4489744901657104)","Vector3D(x=0.252050, y=-0.011703, z=1.141124)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-4.458849196982417e-15,),'hand_brake':False,'gear':0)"
680,35.09563502529636,135,"(41.92939376831055,263.7427978515625,15.234127044677734)","(-44.9999885559082,89.98995971679688,0.0)","(41.93611145019531,273.74371337890625,0.2668006122112274)","(0.6622482538223267,89.98214721679688,-1.637908935546875)","Vector3D(x=0.048164, y=-0.001361, z=0.439713)","('throttle':(0.0,),'brake':(0.15565815567970276,),'steering':(-5.375804903451353e-05,),'hand_brake':False,'gear':0)"
681,35.14563502604142,135,"(41.93299102783203,263.74371337890625,15.266799926757812)","(-44.9999885559082,89.98214721679688,-2.4148362172127236e-06)","(41.93684387207031,273.7434387207031,0.27798378467559814)","(0.6189107298851013,89.98529815673828,-1.40771484375)","Vector3D(x=-0.041607, y=0.002483, z=0.103044)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(7.284551247721538e-05,),'hand_brake':False,'gear':0)"
682,35.195635026786476,135,"(41.93427658081055,263.7434387207031,15.277982711791992)","(-44.9999885559082,89.98527526855469,0.0)","(41.93657684326172,273.7428894042969,0.2790748178958893)","(0.5121275782585144,89.99042510986328,-1.1142579317092896)","Vector3D(x=-0.047120, y=0.003330, z=-0.043920)","('throttle':(0.0,),'brake':(0.23420636355876923,),'steering':(0.00011803680536104366,),'hand_brake':False,'gear':0)"
683,35.245635027531534,135,"(41.934906005859375,263.7428894042969,15.279074668884277)","(-44.9999885559082,89.99041748046875,-2.4148362172127236e-06)","(41.93627166748047,273.7422790527344,0.2760007679462433)","(0.39979827404022217,89.99430084228516,-0.856658935546875)","Vector3D(x=-0.039298, y=0.003074, z=-0.095922)","('throttle':(0.0,),'brake':(0.32909175753593445,),'steering':(2.3933363991091028e-05,),'hand_brake':False,'gear':0)"
684,35.29563502827659,135,"(41.93527603149414,263.7422790527344,15.2760009765625)","(-44.9999885559082,89.99427795410156,0.0)","(41.93602752685547,273.74169921875,0.27169519662857056)","(0.3021334111690521,89.99681091308594,-0.651885986328125)","Vector3D(x=-0.030443, y=0.002509, z=-0.103263)","('throttle':(0.0,),'brake':(0.2531421482563019,),'steering':(-1.04783366623451e-05,),'hand_brake':False,'gear':0)"
685,35.34563502902165,135,"(41.93546676635742,263.74169921875,15.271695137023926)","(-44.9999885559082,89.99678802490234,0.0)","(41.935848236083984,273.74127197265625,0.26749613881111145)","(0.2238730937242508,89.99824523925781,-0.49423202872276306)","Vector3D(x=-0.023057, y=0.001934, z=-0.091914)","('throttle':(0.0,),'brake':(0.24309968948364258,),'steering':(-1.058623911376344e-05,),'hand_brake':False,'gear':0)"
686,35.39563502976671,135,"(41.93553924560547,263.74127197265625,15.267496109008789)","(-44.99998092651367,89.99822998046875,0.0)","(41.935707092285156,273.7409362792969,0.26392117142677307)","(0.16382890939712524,89.99909973144531,-0.3742675483226776)","Vector3D(x=-0.017354, y=0.001447, z=-0.074740)","('throttle':(0.0,),'brake':(0.2721264660358429,),'steering':(-2.7946730369876605e-06,),'hand_brake':False,'gear':0)"
687,35.44563503051177,135,"(41.935550689697266,263.7409362792969,15.263920783996582)","(-44.99999237060547,89.99908447265625,0.0)","(41.93560791015625,273.74072265625,0.26108986139297485)","(0.11891358345746994,89.99954986572266,-0.2832641303539276)","Vector3D(x=-0.013051, y=0.001063, z=-0.057618)","('throttle':(0.0,),'brake':(0.3056422472000122,),'steering':(-2.8742747417709325e-06,),'hand_brake':False,'gear':0)"
688,35.495635031256825,135,"(41.93552780151367,263.74072265625,15.261089324951172)","(-44.9999885559082,89.99954986572266,-2.414836444586399e-06)","(41.93553924560547,273.7405090332031,0.2589467167854309)","(0.08585547655820847,89.99981689453125,-0.21438589692115784)","Vector3D(x=-0.009824, y=0.000773, z=-0.042889)","('throttle':(0.0,),'brake':(0.3397204279899597,),'steering':(-8.130597279887297e-07,),'hand_brake':False,'gear':0)"
689,35.54563503200188,135,"(41.935508728027344,263.7405090332031,15.258946418762207)","(-44.9999885559082,89.99979400634766,-4.829672434425447e-06)","(41.93549346923828,273.7403564453125,0.2573745548725128)","(0.06175856664776802,89.99996185302734,-0.1622619777917862)","Vector3D(x=-0.007404, y=0.000559, z=-0.031135)","('throttle':(0.0,),'brake':(0.3698778450489044,),'steering':(-9.656681640990428e-07,),'hand_brake':False,'gear':0)"
690,35.59563503274694,135,"(41.93548583984375,263.7403564453125,15.257373809814453)","(-44.9999885559082,89.99993133544922,9.659344868850894e-06)","(41.93545150756836,273.740234375,0.2562471628189087)","(0.04432109370827675,90.00005340576172,-0.1228027418255806)","Vector3D(x=-0.005587, y=0.000402, z=-0.022185)","('throttle':(0.0,),'brake':(0.385954886674881,),'steering':(-9.719200306790299e-07,),'hand_brake':False,'gear':0)"
691,35.645635033492,135,"(41.93545913696289,263.740234375,15.256247520446777)","(-45.000003814697266,90.00005340576172,-2.414836444586399e-06)","(41.9354248046875,273.7401428222656,0.25545310974121094)","(0.03176720812916756,90.00008392333984,-0.0929260179400444)","Vector3D(x=-0.004219, y=0.000288, z=-0.015576)","('throttle':(0.0,),'brake':(0.40046626329421997,),'steering':(-9.284192969971627e-07,),'hand_brake':False,'gear':0)"
692,35.69563503423706,135,"(41.93544006347656,263.7401428222656,15.255452156066895)","(-45.000003814697266,90.00005340576172,-2.414836444586399e-06)","(41.93539810180664,273.7400817871094,0.2549019157886505)","(0.022730868309736252,90.0000991821289,-0.0703430101275444)","Vector3D(x=-0.003188, y=0.000207, z=-0.010809)","('throttle':(0.0,),'brake':(0.340021550655365,),'steering':(-4.958768613505526e-07,),'hand_brake':False,'gear':0)"
693,35.745635034982115,135,"(41.9354133605957,263.7400817871094,15.254901885986328)","(-45.000003814697266,90.00005340576172,-2.414836444586399e-06)","(41.935386657714844,273.7400207519531,0.2545236647129059)","(0.016262680292129517,90.00013732910156,-0.0532226487994194)","Vector3D(x=-0.002411, y=0.000148, z=-0.007433)","('throttle':(0.0,),'brake':(0.2522134482860565,),'steering':(-2.5374245637976856e-07,),'hand_brake':False,'gear':0)"
694,35.79563503572717,135,"(41.93540954589844,263.7400207519531,15.254522323608398)","(-45.000003814697266,90.00005340576172,-2.414836444586399e-06)","(41.93537139892578,273.739990234375,0.2542665898799896)","(0.01162498164921999,90.00012969970703,-0.0402831956744194)","Vector3D(x=-0.001824, y=0.000106, z=-0.005066)","('throttle':(0.0,),'brake':(0.18711815774440765,),'steering':(-1.8481404140402447e-07,),'hand_brake':False,'gear':0)"
695,35.84563503647223,135,"(41.935394287109375,263.739990234375,15.254265785217285)","(-45.000003814697266,90.00005340576172,-2.414836444586399e-06)","(41.935359954833984,273.7399597167969,0.2540934383869171)","(0.008312339894473553,90.0001220703125,-0.03048705868422985)","Vector3D(x=-0.001379, y=0.000076, z=-0.003431)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-3.3717432756930066e-07,),'hand_brake':False,'gear':0)"
696,35.89563503721729,135,"(41.93537902832031,263.7399597167969,15.2540922164917)","(-45.000003814697266,90.00005340576172,-2.414836444586399e-06)","(41.93535614013672,273.7399597167969,0.2539777457714081)","(0.0059422641061246395,90.00013732910156,-0.0230712853372097)","Vector3D(x=-0.001043, y=0.000054, z=-0.002308)","('throttle':(0.44708549976348877,),'brake':(0.0,),'steering':(-5.788032285636291e-05,),'hand_brake':False,'gear':0)"
697,35.94563503796235,135,"(41.93537902832031,263.7399597167969,15.25397777557373)","(-45.000003814697266,90.00005340576172,-2.414836444586399e-06)","(41.93534469604492,273.73992919921875,0.25390106439590454)","(0.004241547081619501,90.00013732910156,-0.0174560509622097)","Vector3D(x=-0.000790, y=0.000039, z=-0.001549)","('throttle':(0.7228410840034485,),'brake':(0.0,),'steering':(-0.0006955887656658888,),'hand_brake':False,'gear':0)"
698,35.995635038707405,135,"(41.93536376953125,263.73992919921875,15.253901481628418)","(-45.000003814697266,90.00005340576172,-2.414836444586399e-06)","(41.93534469604492,273.73992919921875,0.25390106439590454)","(0.004241547081619501,90.00013732910156,-0.0174560509622097)","Vector3D(x=0.000000, y=0.000000, z=0.000000)","('throttle':(0.3737562298774719,),'brake':(0.0,),'steering':(-0.0009183900547213852,),'hand_brake':False,'gear':0)"
699,36.04563503945246,135,"(41.93536376953125,263.73992919921875,15.253901481628418)","(-45.000003814697266,90.00005340576172,-2.414836444586399e-06)","(41.93535614013672,273.73992919921875,0.25384634733200073)","(0.002807207638397813,90.00013732910156,-0.011657713912427425)","Vector3D(x=-0.000038, y=0.000014, z=-0.000406)","('throttle':(0.739671528339386,),'brake':(0.0,),'steering':(-0.0006459916476160288,),'hand_brake':False,'gear':0)"
700,36.09563504019752,135,"(41.93537902832031,263.73992919921875,15.253846168518066)","(-45.000003814697266,90.00005340576172,-2.414836444586399e-06)","(41.93537521362305,273.73992919921875,0.25382906198501587)","(0.0022403020411729813,90.00013732910156,-0.00909423828125)","Vector3D(x=-0.000032, y=0.000015, z=-0.000452)","('throttle':(0.4651154577732086,),'brake':(0.0,),'steering':(-0.000460142910014838,),'hand_brake':False,'gear':0)"
701,36.14563504094258,135,"(41.93539810180664,263.73992919921875,15.253829002380371)","(-45.000003814697266,90.00005340576172,-2.414836444586399e-06)","(41.93539047241211,273.73992919921875,0.2538122832775116)","(0.0017143774311989546,90.00013732910156,-0.006988524459302425)","Vector3D(x=-0.000025, y=0.000013, z=-0.000405)","('throttle':(0.7393273115158081,),'brake':(0.0,),'steering':(-0.00034314236836507916,),'hand_brake':False,'gear':0)"
702,36.19563504168764,135,"(41.9354133605957,263.73992919921875,15.253811836242676)","(-45.000003814697266,90.00005340576172,-2.414836444586399e-06)","(41.93539810180664,273.73992919921875,0.2537980079650879)","(0.0012772453483194113,90.00013732910156,-0.005340575240552425)","Vector3D(x=-0.000019, y=0.000010, z=-0.000330)","('throttle':(0.7138592004776001,),'brake':(0.0,),'steering':(-0.00028481983463279903,),'hand_brake':False,'gear':0)"
703,36.245635042432696,135,"(41.93541717529297,263.73992919921875,15.25379753112793)","(-45.000003814697266,90.00005340576172,-2.414836444586399e-06)","(41.93540954589844,273.73992919921875,0.2537866532802582)","(0.0009357358794659376,90.00013732910156,-0.004058837424963713)","Vector3D(x=-0.000015, y=0.000008, z=-0.000258)","('throttle':(0.37487778067588806,),'brake':(0.0,),'steering':(-0.00029370805714279413,),'hand_brake':False,'gear':0)"
704,36.295635043177754,135,"(41.93543243408203,263.73992919921875,15.253786087036133)","(-45.000003814697266,90.00005340576172,-2.414836444586399e-06)","(41.9354133605957,273.73992919921875,0.25377804040908813)","(0.0006830188794992864,90.00013732910156,-0.0030822751577943563)","Vector3D(x=-0.000011, y=0.000006, z=-0.000192)","('throttle':(0.44298607110977173,),'brake':(0.0,),'steering':(-0.00029643168090842664,),'hand_brake':False,'gear':0)"
705,36.34563504392281,135,"(41.93543243408203,263.73992919921875,15.253777503967285)","(-45.000003814697266,90.00005340576172,-2.414836444586399e-06)","(41.93541717529297,273.73992919921875,0.25377175211906433)","(0.0004917735932394862,90.00013732910156,-0.002349853515625)","Vector3D(x=-0.000009, y=0.000004, z=-0.000137)","('throttle':(0.7416562438011169,),'brake':(0.0,),'steering':(-0.000295990175800398,),'hand_brake':False,'gear':0)"
706,36.39563504466787,135,"(41.93544006347656,263.73992919921875,15.253771781921387)","(-45.000003814697266,90.00005340576172,-2.414836444586399e-06)","(41.9354248046875,273.73992919921875,0.2537672221660614)","(0.00035516981733962893,90.00013732910156,-0.0018005369929596782)","Vector3D(x=-0.000006, y=0.000003, z=-0.000098)","('throttle':(0.732936441898346,),'brake':(0.0,),'steering':(-0.0002957071701530367,),'hand_brake':False,'gear':0)"
707,36.44563504541293,135,"(41.935447692871094,263.73992919921875,15.253767013549805)","(-45.000003814697266,90.00005340576172,-2.414836444586399e-06)","(41.935428619384766,273.73992919921875,0.2537659704685211)","(0.0003073585103265941,90.00013732910156,-0.0015563963679596782)","Vector3D(x=-0.000004, y=0.000001, z=-0.000030)","('throttle':(0.7156721353530884,),'brake':(0.0,),'steering':(-0.00029567937599495053,),'hand_brake':False,'gear':0)"
708,36.495635046157986,135,"(41.935447692871094,263.73992919921875,15.253765106201172)","(-45.000003814697266,90.00005340576172,-2.414836444586399e-06)","(41.935428619384766,273.73992919921875,0.2537645995616913)","(0.0002527169999666512,90.00013732910156,-0.0012207030085846782)","Vector3D(x=-0.000004, y=0.000002, z=-0.000040)","('throttle':(0.7066550850868225,),'brake':(0.0,),'steering':(-0.00029565783916041255,),'hand_brake':False,'gear':0)"
709,36.545635046903044,135,"(41.935447692871094,263.73992919921875,15.253764152526855)","(-45.000003814697266,90.00005340576172,-2.414836444586399e-06)","(41.935428619384766,273.73992919921875,0.253763884305954)","(0.00012294339830987155,90.00001525878906,-0.0009460447472520173)","Vector3D(x=0.000003, y=0.001770, z=-0.000040)","('throttle':(0.6885638236999512,),'brake':(0.0,),'steering':(-0.0002956424141302705,),'hand_brake':False,'gear':0)"
