Frame,Timestamp,VehicleID,Spectator_Location,Spectator_Rotation,Vehicle_Location,Vehicle_Rotation,Vehicle_Velocity,Vehicle_Control
1809,69.2552267066203,135,"(-3.2654528617858887,162.7500457763672,15.253758430480957)","(-44.99999237060547,-90.00067138671875,2.414836444586399e-06)","(-3.2611520290374756,152.74717712402344,0.23412741720676422)","(0.4976270794868469,-90.010009765625,-1.4489744901657104)","Vector3D(x=-0.252052, y=0.011703, z=1.141124)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(6.333179055138902e-16,),'hand_brake':False,'gear':0)"
1810,69.30522670736536,135,"(-3.2594048976898193,162.74717712402344,15.234127044677734)","(-44.9999885559082,-90.00999450683594,0.0)","(-3.266117572784424,152.7462615966797,0.2668009102344513)","(0.6622482538223267,-90.0178451538086,-1.637908935546875)","Vector3D(x=-0.048162, y=0.001360, z=0.439713)","('throttle':(0.0,),'brake':(0.1557113081216812,),'steering':(-1.367688673781231e-05,),'hand_brake':False,'gear':0)"
1811,69.35522670811042,135,"(-3.26300311088562,162.7462615966797,15.266799926757812)","(-44.9999885559082,-90.01781463623047,0.0)","(-3.266850709915161,152.74649047851562,0.27798405289649963)","(0.6189107298851013,-90.01467895507812,-1.407714605331421)","Vector3D(x=0.041608, y=-0.002484, z=0.103041)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-1.2175414667581208e-05,),'hand_brake':False,'gear':0)"
1812,69.40522670885548,135,"(-3.2642886638641357,162.74649047851562,15.277982711791992)","(-44.9999885559082,-90.0146713256836,-2.4148362172127236e-06)","(-3.2665836811065674,152.74710083007812,0.27907514572143555)","(0.5121275782585144,-90.00956726074219,-1.114288330078125)","Vector3D(x=0.047122, y=-0.003332, z=-0.043920)","('throttle':(0.0,),'brake':(0.23419219255447388,),'steering':(1.7862636013887823e-05,),'hand_brake':False,'gear':0)"
1813,69.45522670960054,135,"(-3.26491379737854,162.74710083007812,15.279075622558594)","(-45.000003814697266,-90.00958251953125,2.414836444586399e-06)","(-3.2662761211395264,152.74774169921875,0.2760010063648224)","(0.3997846245765686,-90.00568389892578,-0.8566895723342896)","Vector3D(x=0.039298, y=-0.003075, z=-0.095926)","('throttle':(0.0,),'brake':(0.3291004002094269,),'steering':(7.103496955096489e-07,),'hand_brake':False,'gear':0)"
1814,69.5052267103456,135,"(-3.2652840614318848,162.74774169921875,15.2760009765625)","(-45.000003814697266,-90.00566864013672,-2.414836444586399e-06)","(-3.2660298347473145,152.748291015625,0.27169543504714966)","(0.30212655663490295,-90.00320434570312,-0.6518859267234802)","Vector3D(x=0.030443, y=-0.002509, z=-0.103262)","('throttle':(0.0,),'brake':(0.25313588976860046,),'steering':(-5.665710887114983e-06,),'hand_brake':False,'gear':0)"
1815,69.55522671109065,135,"(-3.265470504760742,162.748291015625,15.271695137023926)","(-44.9999885559082,-90.0031967163086,0.0)","(-3.265848398208618,152.7487335205078,0.267496258020401)","(0.223866268992424,-90.00170135498047,-0.49423202872276306)","Vector3D(x=0.023057, y=-0.001934, z=-0.091913)","('throttle':(0.0,),'brake':(0.24309799075126648,),'steering':(-3.158510025969008e-06,),'hand_brake':False,'gear':0)"
1816,69.60522671183571,135,"(-3.2655513286590576,162.7487335205078,15.267496109008789)","(-44.9999885559082,-90.00170135498047,2.4148362172127236e-06)","(-3.265716791152954,152.7490692138672,0.26392120122909546)","(0.16382208466529846,-90.00092315673828,-0.3742370009422302)","Vector3D(x=0.017354, y=-0.001447, z=-0.074738)","('throttle':(0.0,),'brake':(0.27215954661369324,),'steering':(-2.113568598360871e-06,),'hand_brake':False,'gear':0)"
1817,69.65522671258077,135,"(-3.2655556201934814,162.7490692138672,15.263920783996582)","(-44.9999885559082,-90.00090789794922,2.4148362172127236e-06)","(-3.2656219005584717,152.74932861328125,0.2610899806022644)","(0.11890675872564316,-90.00042724609375,-0.2832641899585724)","Vector3D(x=0.013051, y=-0.001063, z=-0.057623)","('throttle':(0.0,),'brake':(0.3056236505508423,),'steering':(-1.2223960084156715e-06,),'hand_brake':False,'gear':0)"
1818,69.70522671332583,135,"(-3.265547037124634,162.74932861328125,15.261089324951172)","(-44.9999885559082,-90.00041961669922,2.4148362172127236e-06)","(-3.265552043914795,152.74951171875,0.25894683599472046)","(0.08585547655820847,-90.00013732910156,-0.21438594162464142)","Vector3D(x=0.009824, y=-0.000773, z=-0.042889)","('throttle':(0.0,),'brake':(0.33972421288490295,),'steering':(-4.812712859347812e-07,),'hand_brake':False,'gear':0)"
1819,69.75522671407089,135,"(-3.2655279636383057,162.74951171875,15.258946418762207)","(-44.9999885559082,-90.00010681152344,0.0)","(-3.265501022338867,152.7496337890625,0.25737452507019043)","(0.06174490600824356,-90.00003051757812,-0.162261962890625)","Vector3D(x=0.007404, y=-0.000559, z=-0.031136)","('throttle':(0.0,),'brake':(0.3698883056640625,),'steering':(-1.7755185410806007e-07,),'hand_brake':False,'gear':0)"
1820,69.80522671481594,135,"(-3.265495777130127,162.74961853027344,15.257373809814453)","(-44.9999885559082,-89.99999237060547,-2.4148362172127236e-06)","(-3.26546311378479,152.74974060058594,0.2562473714351654)","(0.04432109370827675,-89.99993896484375,-0.1228027269244194)","Vector3D(x=0.005586, y=-0.000402, z=-0.022182)","('throttle':(0.0,),'brake':(0.3860182762145996,),'steering':(-2.0108006992813898e-07,),'hand_brake':False,'gear':0)"
1821,69.855226715561,135,"(-3.2654738426208496,162.74972534179688,15.256247520446777)","(-44.9999885559082,-89.99999237060547,-2.4148362172127236e-06)","(-3.265435218811035,152.7498321533203,0.2554532289505005)","(0.03176720812916756,-89.99987030029297,-0.0929260179400444)","Vector3D(x=0.004219, y=-0.000288, z=-0.015577)","('throttle':(0.0,),'brake':(0.40047404170036316,),'steering':(-1.6355421905700496e-07,),'hand_brake':False,'gear':0)"
1822,69.90522671630606,135,"(-3.2654576301574707,162.7498321533203,15.255452156066895)","(-45.000003814697266,-89.9998779296875,2.414836444586399e-06)","(-3.265413999557495,152.74989318847656,0.2549019455909729)","(0.022730868309736252,-89.99988555908203,-0.070343017578125)","Vector3D(x=0.003188, y=-0.000207, z=-0.010808)","('throttle':(0.0,),'brake':(0.34054800868034363,),'steering':(-1.1704768354547923e-07,),'hand_brake':False,'gear':0)"
1823,69.95522671705112,135,"(-3.2654337882995605,162.74989318847656,15.254901885986328)","(-45.000003814697266,-89.9998779296875,2.414836444586399e-06)","(-3.2653982639312744,152.74993896484375,0.25452369451522827)","(0.016262680292129517,-89.99983978271484,-0.05322265625)","Vector3D(x=0.002411, y=-0.000148, z=-0.007433)","('throttle':(0.0,),'brake':(0.2524551749229431,),'steering':(-6.356712844990398e-08,),'hand_brake':False,'gear':0)"
1824,70.00522671779618,135,"(-3.26542592048645,162.74993896484375,15.254522323608398)","(-45.000003814697266,-89.9998779296875,2.414836444586399e-06)","(-3.265385866165161,152.74996948242188,0.25426653027534485)","(0.01162498164921999,-89.99983978271484,-0.0402831956744194)","Vector3D(x=0.001823, y=-0.000106, z=-0.005069)","('throttle':(0.0,),'brake':(0.18743930757045746,),'steering':(-4.08618987535192e-08,),'hand_brake':False,'gear':0)"
1825,70.05522671854123,135,"(-3.265413761138916,162.74996948242188,15.254265785217285)","(-45.000003814697266,-89.9998779296875,2.414836444586399e-06)","(-3.2653770446777344,152.74998474121094,0.2540934979915619)","(0.008305509574711323,-89.99983215332031,-0.03048705868422985)","Vector3D(x=0.001379, y=-0.000076, z=-0.003433)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-4.4688778899626413e-08,),'hand_brake':False,'gear':0)"
1826,70.10522671928629,135,"(-3.265406370162964,162.74996948242188,15.2540922164917)","(-45.000003814697266,-89.9998779296875,2.414836444586399e-06)","(-3.2653703689575195,152.75,0.25397783517837524)","(0.005935434252023697,-89.99983978271484,-0.02307128719985485)","Vector3D(x=0.001043, y=-0.000054, z=-0.002310)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-4.087991101187072e-08,),'hand_brake':False,'gear':0)"
1827,70.15522672003135,135,"(-3.2653982639312744,162.75,15.25397777557373)","(-45.000003814697266,-89.9998779296875,2.414836444586399e-06)","(-3.2653656005859375,152.75001525878906,0.25390106439590454)","(0.004241547081619501,-89.99983978271484,-0.0174560509622097)","Vector3D(x=0.000789, y=-0.000039, z=-0.001548)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-3.575219764684334e-08,),'hand_brake':False,'gear':0)"
1828,70.20522672077641,135,"(-3.2653932571411133,162.75001525878906,15.253901481628418)","(-45.000003814697266,-89.9998779296875,2.414836444586399e-06)","(-3.2653656005859375,152.75001525878906,0.25390106439590454)","(0.004241547081619501,-89.99983978271484,-0.0174560509622097)","Vector3D(x=0.000000, y=0.000000, z=0.000000)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-1.9513738180876317e-08,),'hand_brake':False,'gear':0)"
