Frame,Timestamp,VehicleID,Spectator_Location,Spectator_Rotation,Vehicle_Location,Vehicle_Rotation,Vehicle_Velocity,Vehicle_Control
2885,113.10171298263595,135,"(58.200008392333984,105.77547454833984,15.253758430480957)","(-45.00000762939453,-179.9998016357422,9.211870849457071e-12)","(48.19718551635742,105.7711410522461,0.2341274917125702)","(0.4976270794868469,179.989990234375,-1.4489744901657104)","Vector3D(x=0.011703, y=0.252053, z=1.141128)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(2.1566327045865422e-16,),'hand_brake':False,'gear':0)"
2886,113.151712983381,135,"(58.19718551635742,105.76939392089844,15.234127044677734)","(-44.99999237060547,179.989990234375,0.0)","(48.196258544921875,105.77609252929688,0.2668008506298065)","(0.6622482538223267,179.98214721679688,-1.637939453125)","Vector3D(x=0.001360, y=0.048164, z=0.439712)","('throttle':(0.0,),'brake':(0.15571095049381256,),'steering':(-1.173156124423258e-05,),'hand_brake':False,'gear':0)"
2887,113.20171298412606,135,"(58.196258544921875,105.77297973632812,15.266799926757812)","(-44.99998092651367,179.98214721679688,0.0)","(48.196502685546875,105.7768325805664,0.2779841125011444)","(0.6189107298851013,179.9853057861328,-1.4077144861221313)","Vector3D(x=-0.002486, y=-0.041610, z=0.103043)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-9.608535765437409e-05,),'hand_brake':False,'gear':0)"
2888,113.25171298487112,135,"(58.196502685546875,105.77426147460938,15.277982711791992)","(-44.99998092651367,179.9853057861328,0.0)","(48.19709777832031,105.77658081054688,0.2790752649307251)","(0.5121275782585144,179.9904327392578,-1.114288330078125)","Vector3D(x=-0.003331, y=-0.047122, z=-0.043918)","('throttle':(0.0,),'brake':(0.23420315980911255,),'steering':(3.527947046677582e-05,),'hand_brake':False,'gear':0)"
2890,113.35171298636124,135,"(58.197723388671875,105.7752685546875,15.2760009765625)","(-44.99999237060547,179.99427795410156,0.0)","(48.19826889038086,105.77601623535156,0.2716955244541168)","(0.30212655663490295,179.99676513671875,-0.6518859267234802)","Vector3D(x=-0.002509, y=-0.030444, z=-0.103262)","('throttle':(0.0,),'brake':(0.2530948519706726,),'steering':(-7.434742656187154e-06,),'hand_brake':False,'gear':0)"
2891,113.4017129871063,135,"(58.198265075683594,105.77544403076172,15.271695137023926)","(-44.99997329711914,179.99676513671875,0.0)","(48.19871520996094,105.77582550048828,0.26749616861343384)","(0.223866268992424,179.99826049804688,-0.49426254630088806)","Vector3D(x=-0.001934, y=-0.023057, z=-0.091918)","('throttle':(0.0,),'brake':(0.2430965155363083,),'steering':(-3.3497115055070026e-06,),'hand_brake':False,'gear':0)"
2892,113.45171298785135,135,"(58.19871520996094,105.7755126953125,15.267496109008789)","(-44.99998092651367,179.99826049804688,0.0)","(48.19905090332031,105.77570343017578,0.26392117142677307)","(0.16382208466529846,179.9990997314453,-0.3742675483226776)","Vector3D(x=-0.001447, y=-0.017353, z=-0.074738)","('throttle':(0.0,),'brake':(0.27211734652519226,),'steering':(-4.123554390389472e-06,),'hand_brake':False,'gear':0)"
2893,113.50171298859641,135,"(58.19905090332031,105.77554321289062,15.263920783996582)","(-44.99998092651367,179.9990997314453,-3.684747645893438e-11)","(48.19930648803711,105.77560424804688,0.2610897421836853)","(0.11891358345746994,179.9995574951172,-0.28326407074928284)","Vector3D(x=-0.001063, y=-0.013051, z=-0.057618)","('throttle':(0.0,),'brake':(0.3055945932865143,),'steering':(-4.630877356248675e-06,),'hand_brake':False,'gear':0)"
2894,113.55171298934147,135,"(58.19930648803711,105.77552795410156,15.261088371276855)","(-44.99999237060547,179.99952697753906,0.0)","(48.19948959350586,105.7755355834961,0.25894686579704285)","(0.08585547655820847,179.9998016357422,-0.21438592672348022)","Vector3D(x=-0.000773, y=-0.009824, z=-0.042888)","('throttle':(0.0,),'brake':(0.3397330641746521,),'steering':(-5.448021511256229e-06,),'hand_brake':False,'gear':0)"
2895,113.60171299008653,135,"(58.199485778808594,105.77549743652344,15.258946418762207)","(-45.00000762939453,179.9998016357422,0.0)","(48.19963455200195,105.77547454833984,0.2573746144771576)","(0.06174490600824356,179.9999542236328,-0.1622619330883026)","Vector3D(x=-0.000559, y=-0.007404, z=-0.031135)","('throttle':(0.0,),'brake':(0.3698809742927551,),'steering':(-1.7857291823020205e-06,),'hand_brake':False,'gear':0)"
2896,113.65171299083158,135,"(58.19963073730469,105.77546691894531,15.257373809814453)","(-44.99998092651367,179.9999542236328,-2.3029672786833988e-12)","(48.199729919433594,105.77543640136719,0.25624722242355347)","(0.04432109370827675,-179.99993896484375,-0.1228027269244194)","Vector3D(x=-0.000402, y=-0.005587, z=-0.022185)","('throttle':(0.0,),'brake':(0.3860526382923126,),'steering':(-6.044319320608338e-07,),'hand_brake':False,'gear':0)"
2897,113.70171299157664,135,"(58.199729919433594,105.77543640136719,15.256247520446777)","(-44.99999237060547,-179.99993896484375,0.0)","(48.19979476928711,105.77540588378906,0.2554531395435333)","(0.03176720812916756,-179.99989318847656,-0.0929260104894638)","Vector3D(x=-0.000288, y=-0.004219, z=-0.015577)","('throttle':(0.0,),'brake':(0.40047094225883484,),'steering':(-2.1128511207280098e-07,),'hand_brake':False,'gear':0)"
2898,113.7517129923217,135,"(58.19979476928711,105.77542114257812,15.255452156066895)","(-44.99999237060547,-179.99993896484375,0.0)","(48.19984817504883,105.77539825439453,0.25490185618400574)","(0.022730868309736252,-179.9998779296875,-0.0703430026769638)","Vector3D(x=-0.000207, y=-0.003188, z=-0.010807)","('throttle':(0.0,),'brake':(0.3409287631511688,),'steering':(-3.2522211768082343e-07,),'hand_brake':False,'gear':0)"
