Frame,Timestamp,ActorID,ActorType,DeltaAcceleration(m/s),ChangePos,MayRapidAcceleration/MayRapiDeceleration
4056,160.58096713991836,135,vehicle.lincoln.mkz_2017,23.373786401306333,"Transform(Location(x=50.527187, y=105.431137, z=0.234127), Rotation(pitch=0.497620, yaw=179.989990, roll=-1.448974))",MayRapidAcceleration
4057,160.63096714066342,135,vehicle.lincoln.mkz_2017,-8.763376986417077,"Transform(Location(x=50.526260, y=105.436089, z=0.266801), Rotation(pitch=0.662235, yaw=179.982147, roll=-1.637909))",MayRapiDeceleration
4058,160.68096714140847,135,vehicle.lincoln.mkz_2017,-7.641344586438595,"Transform(Location(x=50.526505, y=105.436836, z=0.277984), Rotation(pitch=0.618911, yaw=179.985306, roll=-1.407714))",MayRapiDeceleration
4156,165.58096721442416,135,vehicle.lincoln.mkz_2017,17.01067813763826,"Transform(Location(x=42.995335, y=105.416786, z=0.254795), Rotation(pitch=-0.119323, yaw=-179.801804, roll=-0.000061))",MayRapidAcceleration
4158,165.68096721591428,135,vehicle.lincoln.mkz_2017,-17.9897413640981,"Transform(Location(x=42.984097, y=105.416679, z=0.255660), Rotation(pitch=-0.218935, yaw=-179.805206, roll=0.000275))",MayRapiDeceleration
5062,210.88096788944677,135,vehicle.lincoln.mkz_2017,8.552474345950541,"Transform(Location(x=-8.404929, y=172.659531, z=0.254017), Rotation(pitch=-0.029875, yaw=90.019119, roll=0.000059))",MayRapidAcceleration
5063,210.93096789019182,135,vehicle.lincoln.mkz_2017,-8.322013435667333,"Transform(Location(x=-8.404924, y=172.662460, z=0.254069), Rotation(pitch=-0.035797, yaw=90.018921, roll=-0.000031))",MayRapiDeceleration
5094,212.48096791328862,135,vehicle.lincoln.mkz_2017,6.398299163522092,"Transform(Location(x=-8.404241, y=172.984924, z=0.253919), Rotation(pitch=-0.018558, yaw=89.979446, roll=-0.000092))",MayRapidAcceleration
5095,212.53096791403368,135,vehicle.lincoln.mkz_2017,-6.050895430991227,"Transform(Location(x=-8.404235, y=172.987762, z=0.253957), Rotation(pitch=-0.022888, yaw=89.979256, roll=-0.000153))",MayRapiDeceleration
5208,218.18096799822524,135,vehicle.lincoln.mkz_2017,11.010707294087483,"Transform(Location(x=-7.056078, y=186.173721, z=0.254333), Rotation(pitch=-0.066260, yaw=69.919113, roll=0.008733))",MayRapidAcceleration
5209,218.2309679989703,135,vehicle.lincoln.mkz_2017,11.327291819357605,"Transform(Location(x=-7.043460, y=186.200684, z=0.255094), Rotation(pitch=-0.153686, yaw=69.654770, roll=-0.057159))",MayRapidAcceleration
5210,218.28096799971536,135,vehicle.lincoln.mkz_2017,-20.38257676499191,"Transform(Location(x=-7.043603, y=186.200500, z=0.255496), Rotation(pitch=-0.199981, yaw=69.654549, roll=-0.080231))",MayRapiDeceleration
5663,240.93096833722666,135,vehicle.lincoln.mkz_2017,19.495334697115034,"Transform(Location(x=61.733196, y=191.376617, z=0.254596), Rotation(pitch=-0.084592, yaw=0.704896, roll=0.000531))",MayRapidAcceleration
5664,240.98096833797172,135,vehicle.lincoln.mkz_2017,-11.918732032604163,"Transform(Location(x=61.942696, y=191.379135, z=0.254998), Rotation(pitch=-0.152341, yaw=0.702155, roll=0.000366))",MayRapiDeceleration
6192,267.3809687313624,135,vehicle.lincoln.mkz_2017,11.964128650040454,"Transform(Location(x=115.557579, y=191.355408, z=0.254092), Rotation(pitch=-0.038509, yaw=-1.244537, roll=0.000622))",MayRapidAcceleration
6193,267.43096873210743,135,vehicle.lincoln.mkz_2017,-10.679503131849259,"Transform(Location(x=115.560547, y=191.355331, z=0.254171), Rotation(pitch=-0.047538, yaw=-1.244385, roll=0.000602))",MayRapiDeceleration
6201,267.8309687380679,135,vehicle.lincoln.mkz_2017,8.919640573852401,"Transform(Location(x=115.668060, y=191.353165, z=0.253903), Rotation(pitch=-0.016686, yaw=-1.247253, roll=0.000232))",MayRapidAcceleration
6202,267.88096873881295,135,vehicle.lincoln.mkz_2017,-7.301505653941297,"Transform(Location(x=115.671021, y=191.353088, z=0.253981), Rotation(pitch=-0.025757, yaw=-1.247070, roll=0.000112))",MayRapiDeceleration
6435,279.5309689124115,135,vehicle.lincoln.mkz_2017,17.78506288837484,"Transform(Location(x=129.283890, y=192.515152, z=0.254336), Rotation(pitch=-0.066560, yaw=19.645731, roll=0.028730))",MayRapidAcceleration
6436,279.58096891315654,135,vehicle.lincoln.mkz_2017,-18.205521487608333,"Transform(Location(x=129.283752, y=192.515060, z=0.254582), Rotation(pitch=-0.094878, yaw=19.645542, roll=0.038815))",MayRapiDeceleration
6791,297.33096917765215,135,vehicle.lincoln.mkz_2017,8.070038808565311,"Transform(Location(x=130.691193, y=236.352158, z=0.254489), Rotation(pitch=-0.084237, yaw=129.511902, roll=0.135312))",MayRapidAcceleration
6792,297.3809691783972,135,vehicle.lincoln.mkz_2017,12.561698376557196,"Transform(Location(x=130.667130, y=236.381271, z=0.255263), Rotation(pitch=-0.173241, yaw=129.522964, roll=0.113490))",MayRapidAcceleration
6793,297.43096917914227,135,vehicle.lincoln.mkz_2017,-19.66570858471185,"Transform(Location(x=130.666245, y=236.382370, z=0.255735), Rotation(pitch=-0.227630, yaw=129.522949, roll=0.089515))",MayRapiDeceleration
