Frame,Timestamp,VehicleID,Spectator_Location,Spectator_Rotation,Vehicle_Location,Vehicle_Rotation,Vehicle_Velocity,Vehicle_Control
2081,82.94262340292335,135,"(60.52986145019531,105.4365005493164,15.253756523132324)","(-44.99998092651367,179.9985809326172,0.0)","(50.52986145019531,105.4367446899414,0.25375765562057495)","(0.0,179.9985809326172,0.0)","Vector3D(x=0.000000, y=0.000000, z=-0.000001)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(2.1804093826371135e-17,),'hand_brake':False,'gear':0)"
2082,82.9926234036684,135,"(60.52986145019531,105.4365005493164,15.253756523132324)","(-44.99998092651367,179.9985809326172,0.0)","(50.527191162109375,105.43113708496094,0.23412756621837616)","(0.4976270794868469,179.989990234375,-1.4489744901657104)","Vector3D(x=0.011703, y=0.252052, z=1.141130)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(1.5792897868693153e-17,),'hand_brake':False,'gear':0)"
2083,83.04262340441346,135,"(60.527191162109375,105.42938995361328,15.23412799835205)","(-44.99999237060547,179.989990234375,0.0)","(50.52626419067383,105.43608856201172,0.2668009102344513)","(0.6622482538223267,179.98214721679688,-1.637939453125)","Vector3D(x=0.001362, y=0.048168, z=0.439710)","('throttle':(0.0,),'brake':(0.15570829808712006,),'steering':(-9.211047290591523e-05,),'hand_brake':False,'gear':0)"
2084,83.09262340515852,135,"(60.52626419067383,105.43297576904297,15.266799926757812)","(-44.99998092651367,179.98214721679688,0.0)","(50.52650833129883,105.43683624267578,0.2779842019081116)","(0.6189175844192505,179.9853057861328,-1.4077144861221313)","Vector3D(x=-0.002487, y=-0.041610, z=0.103040)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-0.00016338497516699135,),'hand_brake':False,'gear':0)"
2085,83.14262340590358,135,"(60.52650833129883,105.43427276611328,15.277984619140625)","(-44.99998092651367,179.9853057861328,0.0)","(50.527103424072266,105.43657684326172,0.2790752649307251)","(0.5121275782585144,179.9904327392578,-1.114288330078125)","Vector3D(x=-0.003330, y=-0.047121, z=-0.043921)","('throttle':(0.0,),'brake':(0.23414412140846252,),'steering':(9.967333608074114e-05,),'hand_brake':False,'gear':0)"
2086,83.19262340664864,135,"(60.527103424072266,105.43489837646484,15.279075622558594)","(-44.99998092651367,179.9904327392578,0.0)","(50.52772903442383,105.43626403808594,0.27600112557411194)","(0.39979827404022217,179.9943084716797,-0.8566895127296448)","Vector3D(x=-0.003074, y=-0.039299, z=-0.095926)","('throttle':(0.0,),'brake':(0.3291020393371582,),'steering':(2.0815419702557847e-05,),'hand_brake':False,'gear':0)"
2087,83.2426234073937,135,"(60.52772903442383,105.43527221679688,15.2760009765625)","(-44.99999237060547,179.99427795410156,0.0)","(50.52827453613281,105.4360122680664,0.27169543504714966)","(0.3021334111690521,179.99676513671875,-0.6518859267234802)","Vector3D(x=-0.002509, y=-0.030444, z=-0.103262)","('throttle':(0.0,),'brake':(0.2531714141368866,),'steering':(-1.0614264283503871e-05,),'hand_brake':False,'gear':0)"
2088,83.29262340813875,135,"(60.52827453613281,105.4354476928711,15.271695137023926)","(-44.99997329711914,179.99676513671875,0.0)","(50.52872085571289,105.43582916259766,0.26749610900878906)","(0.2238730937242508,179.99826049804688,-0.49426254630088806)","Vector3D(x=-0.001934, y=-0.023057, z=-0.091918)","('throttle':(0.0,),'brake':(0.243097186088562,),'steering':(-8.496371265209746e-06,),'hand_brake':False,'gear':0)"
2089,83.34262340888381,135,"(60.52872085571289,105.4355239868164,15.267496109008789)","(-44.99998092651367,179.99826049804688,0.0)","(50.529056549072266,105.43569946289062,0.2639210820198059)","(0.16382890939712524,179.9990997314453,-0.3742675483226776)","Vector3D(x=-0.001447, y=-0.017354, z=-0.074738)","('throttle':(0.0,),'brake':(0.27207711338996887,),'steering':(-5.819716989208246e-06,),'hand_brake':False,'gear':0)"
2090,83.39262340962887,135,"(60.529056549072266,105.43553161621094,15.263920783996582)","(-44.99998092651367,179.9990997314453,-3.684747645893438e-11)","(50.52931213378906,105.43560028076172,0.2610898017883301)","(0.11891358345746994,179.9995574951172,-0.28326407074928284)","Vector3D(x=-0.001063, y=-0.013051, z=-0.057619)","('throttle':(0.0,),'brake':(0.30562296509742737,),'steering':(-3.774261813305202e-06,),'hand_brake':False,'gear':0)"
2091,83.44262341037393,135,"(60.5293083190918,105.4355239868164,15.261088371276855)","(-44.99999237060547,179.99952697753906,0.0)","(50.52949523925781,105.43553161621094,0.25894686579704285)","(0.08585547655820847,179.9998016357422,-0.21438592672348022)","Vector3D(x=-0.000773, y=-0.009825, z=-0.042887)","('throttle':(0.0,),'brake':(0.3397311866283417,),'steering':(-1.5942613345032441e-06,),'hand_brake':False,'gear':0)"
2092,83.49262341111898,135,"(60.52949523925781,105.43549346923828,15.258946418762207)","(-45.00000762939453,179.9998016357422,0.0)","(50.52963638305664,105.43547821044922,0.25737452507019043)","(0.06175856664776802,179.9999542236328,-0.1622619330883026)","Vector3D(x=-0.000558, y=-0.007404, z=-0.031135)","('throttle':(0.0,),'brake':(0.36988183856010437,),'steering':(-3.803516506195592e-07,),'hand_brake':False,'gear':0)"
