Frame,Timestamp,VehicleID,Spectator_Location,Spectator_Rotation,Vehicle_Location,Vehicle_Rotation,Vehicle_Velocity,Vehicle_Control
1101,43.04231980862096,135,"(30.430118560791016,187.96505737304688,15.253758430480957)","(-45.00000762939453,179.9998016357422,0.0)","(20.42719268798828,187.96115112304688,0.2341274917125702)","(0.4976270794868469,179.99002075195312,-1.4489742517471313)","Vector3D(x=0.011703, y=0.252053, z=1.141130)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(5.0027404873591915e-15,),'hand_brake':False,'gear':0)"
1102,43.09231980936602,135,"(30.42719078063965,187.95941162109375,15.234127044677734)","(-44.99998092651367,179.99002075195312,1.1791192466859002e-09)","(20.426271438598633,187.96612548828125,0.2668008506298065)","(0.6622482538223267,179.98216247558594,-1.637939453125)","Vector3D(x=0.001362, y=0.048168, z=0.439711)","('throttle':(0.0,),'brake':(0.1557130068540573,),'steering':(-8.322081703227013e-05,),'hand_brake':False,'gear':0)"
1103,43.142319810111076,135,"(30.42626953125,187.96299743652344,15.266799926757812)","(-44.99998092651367,179.98216247558594,-5.895596233429501e-10)","(20.426511764526367,187.9668731689453,0.2779841125011444)","(0.6189175844192505,179.98532104492188,-1.4077144861221313)","Vector3D(x=-0.002486, y=-0.041609, z=0.103041)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(-8.582230657339096e-05,),'hand_brake':False,'gear':0)"
1104,43.192319810856134,135,"(30.426509857177734,187.9643096923828,15.277982711791992)","(-44.99998092651367,179.9853057861328,0.0)","(20.427108764648438,187.9665985107422,0.2790752649307251)","(0.5121275782585144,179.990478515625,-1.1142884492874146)","Vector3D(x=-0.003332, y=-0.047122, z=-0.043921)","('throttle':(0.0,),'brake':(0.23420749604701996,),'steering':(2.8813434255425818e-05,),'hand_brake':False,'gear':0)"
1105,43.24231981160119,135,"(30.427108764648438,187.96493530273438,15.279075622558594)","(-44.99999237060547,179.990478515625,0.0)","(20.427738189697266,187.9662628173828,0.27600109577178955)","(0.39979827404022217,179.9943389892578,-0.8566895127296448)","Vector3D(x=-0.003075, y=-0.039299, z=-0.095925)","('throttle':(0.0,),'brake':(0.3290989100933075,),'steering':(2.186821120631066e-06,),'hand_brake':False,'gear':0)"
1106,43.29231981234625,135,"(30.427738189697266,187.96527099609375,15.2760009765625)","(-44.99998092651367,179.9943084716797,2.9477981167147504e-10)","(20.42828369140625,187.96604919433594,0.27169543504714966)","(0.3021334111690521,179.996826171875,-0.651885986328125)","Vector3D(x=-0.002509, y=-0.030443, z=-0.103261)","('throttle':(0.0,),'brake':(0.25313693284988403,),'steering':(-9.030007277033292e-06,),'hand_brake':False,'gear':0)"
1107,43.34231981309131,135,"(30.42828369140625,187.9654998779297,15.271695137023926)","(-44.99999237060547,179.99681091308594,-1.4738990583573752e-10)","(20.42872428894043,187.96588134765625,0.26749610900878906)","(0.2238730937242508,179.99832153320312,-0.49426260590553284)","Vector3D(x=-0.001934, y=-0.023057, z=-0.091918)","('throttle':(0.0,),'brake':(0.2431410402059555,),'steering':(-8.864510164130479e-06,),'hand_brake':False,'gear':0)"
1108,43.392319813836366,135,"(30.428722381591797,187.965576171875,15.267496109008789)","(-44.99999237060547,179.99832153320312,1.4738990583573752e-10)","(20.429061889648438,187.9657440185547,0.2639210820198059)","(0.16382890939712524,179.99913024902344,-0.374267578125)","Vector3D(x=-0.001447, y=-0.017354, z=-0.074738)","('throttle':(0.0,),'brake':(0.2721179723739624,),'steering':(-6.257772838580422e-06,),'hand_brake':False,'gear':0)"
1109,43.442319814581424,135,"(30.429061889648438,187.965576171875,15.263920783996582)","(-44.99999237060547,179.9990997314453,3.684747645893438e-11)","(20.4293155670166,187.9656524658203,0.2610897421836853)","(0.11891358345746994,179.9996337890625,-0.28326416015625)","Vector3D(x=-0.001063, y=-0.013051, z=-0.057618)","('throttle':(0.0,),'brake':(0.30562350153923035,),'steering':(-2.4995299554575467e-06,),'hand_brake':False,'gear':0)"
1110,43.49231981532648,135,"(30.4293155670166,187.965576171875,15.261088371276855)","(-44.99999237060547,179.9996337890625,-1.842373822946719e-11)","(20.429502487182617,187.965576171875,0.25894686579704285)","(0.08585547655820847,179.9998779296875,-0.21438592672348022)","Vector3D(x=-0.000773, y=-0.009824, z=-0.042887)","('throttle':(0.0,),'brake':(0.30562350153923035,),'steering':(-1.6333669918822125e-06,),'hand_brake':False,'gear':0)"
