Frame,Timestamp,ActorID,ActorType,DeltaAcceleration(m/s),ChangePos,MayRapidAcceleration/MayRapiDeceleration
3506,83.94628672720864,135,vehicle.lincoln.mkz_2017,23.373840423230792,"Transform(Location(x=42.051147, y=274.372772, z=0.234127), Rotation(pitch=0.497634, yaw=89.989983, roll=-1.448974))",MayRapidAcceleration
3507,83.9962867279537,135,vehicle.lincoln.mkz_2017,-8.763482012330496,"Transform(Location(x=42.056114, y=274.373718, z=0.266801), Rotation(pitch=0.662248, yaw=89.982162, roll=-1.637940))",MayRapiDeceleration
3508,84.04628672869876,135,vehicle.lincoln.mkz_2017,-7.641227347027445,"Transform(Location(x=42.056847, y=274.373444, z=0.277984), Rotation(pitch=0.618918, yaw=89.985329, roll=-1.407715))",MayRapiDeceleration
3541,85.69628675328568,135,vehicle.lincoln.mkz_2017,8.953058801197283,"Transform(Location(x=42.055435, y=274.385498, z=0.253510), Rotation(pitch=0.028653, yaw=89.999626, roll=-0.000183))",MayRapidAcceleration
3819,99.59628696041182,135,vehicle.lincoln.mkz_2017,11.922557309623144,"Transform(Location(x=41.924877, y=286.628113, z=0.254009), Rotation(pitch=-0.028905, yaw=90.610527, roll=-0.000427))",MayRapidAcceleration
3820,99.64628696115687,135,vehicle.lincoln.mkz_2017,-10.750675441528372,"Transform(Location(x=41.924847, y=286.631073, z=0.254111), Rotation(pitch=-0.040653, yaw=90.610451, roll=-0.000061))",MayRapiDeceleration
3929,105.0962870423682,135,vehicle.lincoln.mkz_2017,7.5274709833241005,"Transform(Location(x=41.909973, y=288.127136, z=0.253940), Rotation(pitch=-0.020996, yaw=90.589470, roll=0.000007))",MayRapidAcceleration
3930,105.14628704311326,135,vehicle.lincoln.mkz_2017,-8.530302499077864,"Transform(Location(x=41.909981, y=288.127075, z=0.254026), Rotation(pitch=-0.030941, yaw=90.589493, roll=0.000022))",MayRapiDeceleration
4078,112.54628715338185,135,vehicle.lincoln.mkz_2017,6.138823102907881,"Transform(Location(x=43.287346, y=301.477509, z=0.254183), Rotation(pitch=-0.049007, yaw=68.859077, roll=0.023065))",MayRapidAcceleration
4079,112.59628715412691,135,vehicle.lincoln.mkz_2017,16.50857498971407,"Transform(Location(x=43.306667, y=301.515381, z=0.254885), Rotation(pitch=-0.129637, yaw=68.473228, roll=-0.045502))",MayRapidAcceleration
4080,112.64628715487197,135,vehicle.lincoln.mkz_2017,-16.95060572307773,"Transform(Location(x=43.307217, y=301.516571, z=0.255458), Rotation(pitch=-0.195555, yaw=68.464622, roll=-0.084595))",MayRapiDeceleration
4081,112.69628715561703,135,vehicle.lincoln.mkz_2017,-7.391374335868913,"Transform(Location(x=43.307259, y=301.516602, z=0.255406), Rotation(pitch=-0.189729, yaw=68.464554, roll=-0.076935))",MayRapiDeceleration
4139,115.5962871988304,135,vehicle.lincoln.mkz_2017,16.078250210785832,"Transform(Location(x=45.309441, y=303.601471, z=0.254193), Rotation(pitch=-0.050045, yaw=45.764503, roll=-0.015961))",MayRapidAcceleration
4141,115.69628720032051,135,vehicle.lincoln.mkz_2017,-10.927588716780114,"Transform(Location(x=45.322132, y=303.610962, z=0.254990), Rotation(pitch=-0.141904, yaw=45.593811, roll=-0.071106))",MayRapiDeceleration
4144,115.84628720255569,135,vehicle.lincoln.mkz_2017,-7.790336817466972,"Transform(Location(x=45.338173, y=303.620483, z=0.254555), Rotation(pitch=-0.091852, yaw=45.359341, roll=-0.053192))",MayRapiDeceleration
4218,119.54628725768998,135,vehicle.lincoln.mkz_2017,6.075130611229108,"Transform(Location(x=50.592464, y=305.994659, z=0.254104), Rotation(pitch=-0.039827, yaw=16.860895, roll=0.002724))",MayRapidAcceleration
4538,135.54628749610856,135,vehicle.lincoln.mkz_2017,8.05957207710728,"Transform(Location(x=121.590820, y=306.918518, z=0.254790), Rotation(pitch=-0.119112, yaw=-1.068909, roll=-0.002563))",MayRapidAcceleration
4539,135.59628749685362,135,vehicle.lincoln.mkz_2017,13.053672529821899,"Transform(Location(x=121.626785, y=306.918915, z=0.255479), Rotation(pitch=-0.198212, yaw=-1.138580, roll=-0.003052))",MayRapidAcceleration
4540,135.64628749759868,135,vehicle.lincoln.mkz_2017,-20.191737670892767,"Transform(Location(x=121.627953, y=306.918945, z=0.255867), Rotation(pitch=-0.242916, yaw=-1.140839, roll=0.000052))",MayRapiDeceleration
4677,142.49628759967163,135,vehicle.lincoln.mkz_2017,17.160831390611055,"Transform(Location(x=143.830872, y=307.413361, z=0.254613), Rotation(pitch=-0.107787, yaw=0.160159, roll=-0.001434))",MayRapidAcceleration
4679,142.59628760116175,135,vehicle.lincoln.mkz_2017,-25.63939762062361,"Transform(Location(x=144.058212, y=307.416992, z=0.256058), Rotation(pitch=-0.281431, yaw=0.033932, roll=0.001134))",MayRapiDeceleration
5008,159.04628784628585,135,vehicle.lincoln.mkz_2017,19.11709923599994,"Transform(Location(x=190.355988, y=301.677673, z=0.251905), Rotation(pitch=-0.071437, yaw=-45.634357, roll=-0.056335))",MayRapidAcceleration
5009,159.0962878470309,135,vehicle.lincoln.mkz_2017,-18.98980044910302,"Transform(Location(x=190.373901, y=301.656342, z=0.252354), Rotation(pitch=-0.123080, yaw=-45.803551, roll=-0.071198))",MayRapiDeceleration
5487,182.99628820316866,135,vehicle.lincoln.mkz_2017,8.904944939545947,"Transform(Location(x=194.143585, y=274.350983, z=0.253958), Rotation(pitch=-0.023134, yaw=-89.876610, roll=-0.000366))",MayRapidAcceleration
5488,183.04628820391372,135,vehicle.lincoln.mkz_2017,-7.871794047921449,"Transform(Location(x=194.143585, y=274.348053, z=0.254024), Rotation(pitch=-0.030702, yaw=-89.876877, roll=-0.000244))",MayRapiDeceleration
